fragmentID,segments,deviceName,totalPages,usedPages,totalMB,usedMB,percentUtilisation
<!>databaseName,gdc1mx
<!>status,up
<!>creationDate,Jul 16 2013 5:14PM
<!>lastTransactionDump,Jul 16 2013 5:44PM
<!>secsSinceLastTransactionDump,1950681
<!>logUtilisation,4.92 %
<!>dataUtilisation,54.67 %
Frag:74,system + default,exgold31mlcDATA,353280,1380,690.00,2.70,0.39 %
Frag:75,system + default,exgold31mlcDATA,39936,156,78.00,0.30,0.39 %
Frag:76,system + default,exgold31dmLOG,640000,598757,1250.00,1169.45,93.56 %
Frag:77,logsegment,exgold31dmLOG,384000,18904,750.00,36.92,4.92 %
Frag:78,system + default,exgold31dmLOG,353280,1380,690.00,2.70,0.39 %
Frag:79,system + default,exgold31dmLOG,39936,156,78.00,0.30,0.39 %
Frag:80,system + default,v3buildtest_fin_DATA,640000,598757,1250.00,1169.45,93.56 %
Frag:81,logsegment,v3buildtest_fin_DATA,384000,18904,750.00,36.92,4.92 %
Frag:82,system + default,v3buildtest_fin_DATA,286720,79307,560.00,154.90,27.66 %
Frag:83,system + default,v3buildtest_fin_DATA,353280,1380,690.00,2.70,0.39 %
Frag:84,system + default,v3buildtest_fin_DATA,39936,156,78.00,0.30,0.39 %
Frag:85,system + default,v3buildtest_fin_LOG,640000,598757,1250.00,1169.45,93.56 %
Frag:86,logsegment,v3buildtest_fin_LOG,384000,18904,750.00,36.92,4.92 %
Frag:87,system + default,v3buildtest_fin_LOG,286720,79307,560.00,154.90,27.66 %
Frag:88,system + default,v3buildtest_fin_LOG,353280,1380,690.00,2.70,0.39 %
