processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks#047,,1,0.0 %,11944 Kb,3873,1,0.3 %,16816 Kb,Mon Dec 20 22:35:43 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#048,,1,0.2 %,12648 Kb,14386,1,0.4 %,16752 Kb,Tue Dec 21 01:55:28 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#049,,1,0.2 %,12840 Kb,4458,1,0.4 %,16752 Kb,Tue Dec 21 03:42:00 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#050,,1,0.6 %,12840 Kb,23774,1,0.4 %,16752 Kb,Tue Dec 21 07:39:07 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#051,,1,0.9 %,12832 Kb,383,1,0.4 %,16752 Kb,Tue Dec 21 08:12:14 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#052,,1,0.4 %,12832 Kb,2335,1,0.4 %,16752 Kb,Tue Dec 21 08:23:08 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#053,,1,0.3 %,12832 Kb,5078,1,0.4 %,16752 Kb,Tue Dec 21 08:34:59 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#054,,1,0.0 %,13208 Kb,10804,1,0.4 %,16816 Kb,Tue Dec 21 09:06:15 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#055,,1,0.0 %,12832 Kb,18439,1,0.4 %,16752 Kb,Tue Dec 21 09:47:22 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#056,,1,0.0 %,12824 Kb,27461,1,0.4 %,16752 Kb,Tue Dec 21 13:14:10 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#057,,1,0.0 %,13176 Kb,2129,1,0.4 %,16816 Kb,Tue Dec 21 13:35:57 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#058,,1,0.0 %,11816 Kb,22099,1,0.3 %,16816 Kb,Tue Dec 21 15:22:08 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#059,,1,0.0 %,12832 Kb,24029,1,0.4 %,16752 Kb,Tue Dec 21 15:32:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#060,,1,0.6 %,12832 Kb,18980,1,0.4 %,16752 Kb,Tue Dec 21 22:56:08 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#061,,1,0.0 %,12840 Kb,25750,1,0.4 %,16752 Kb,Thu Dec 23 13:44:58 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#062,,1,0.0 %,11944 Kb,22094,1,0.3 %,16816 Kb,Sun Dec 26 10:29:03 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#063,,1,0.0 %,11624 Kb,22114,1,0.3 %,16816 Kb,Sun Dec 26 10:29:22 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#064,,1,0.0 %,11872 Kb,22109,1,0.3 %,16816 Kb,Sun Dec 26 10:29:15 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#065,,1,0.0 %,11736 Kb,22108,1,0.3 %,16816 Kb,Sun Dec 26 10:29:15 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#066,,1,0.0 %,11688 Kb,22106,1,0.3 %,16816 Kb,Sun Dec 26 10:29:12 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#067,,1,0.0 %,11800 Kb,22113,1,0.3 %,16816 Kb,Sun Dec 26 10:29:21 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#068,,1,0.0 %,11864 Kb,22112,1,0.3 %,16816 Kb,Sun Dec 26 10:29:18 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#069,,1,0.0 %,11864 Kb,22107,1,0.3 %,16816 Kb,Sun Dec 26 10:29:15 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#070,,1,0.0 %,11840 Kb,22132,1,0.3 %,16816 Kb,Sun Dec 26 10:29:46 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
