name,localAddress,remoteAddress,sendQueue,recvQueue,state,type,
166.11.5.7:1080-169.63.78.196:1559,166.11.5.7.1080,169.63.78.196.1559,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.63.78.196:1565,166.11.5.7.1080,169.63.78.196.1565,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8278,166.11.5.7.1080,162.26.235.44.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8277,166.11.5.7.1080,162.26.235.44.8277,233,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.110.85:8278,166.11.5.7.1080,162.26.110.85.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8196,166.11.5.7.1080,162.26.235.44.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8197,166.11.5.7.1080,162.26.235.44.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.110.85:8277,166.11.5.7.1080,162.26.110.85.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8198,166.11.5.7.1080,162.26.235.44.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8199,166.11.5.7.1080,162.26.235.44.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.44:8200,166.11.5.7.1080,162.26.235.44.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:1796,166.11.5.7.1080,169.50.218.198.1796,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:1797,166.11.5.7.1080,169.50.218.198.1797,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.183.9:4150,166.11.5.7.1080,169.50.183.9.4150,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.68.34:1348,166.11.5.7.1080,169.42.68.34.1348,5519,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.101.189:1287,166.11.5.7.1080,169.42.101.189.1287,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.101.189:1288,166.11.5.7.1080,169.42.101.189.1288,68,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:1723,166.11.5.7.1080,169.50.219.98.1723,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:1725,166.11.5.7.1080,169.50.219.98.1725,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8196,166.11.5.7.1080,169.50.218.198.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8197,166.11.5.7.1080,169.50.218.198.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8198,166.11.5.7.1080,169.50.218.198.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8199,166.11.5.7.1080,169.50.218.198.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.198:8200,166.11.5.7.1080,169.50.218.198.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.29:8278,166.11.5.7.1080,162.26.235.29.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.235.29:8277,166.11.5.7.1080,162.26.235.29.8277,697,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.106.61:4237,166.11.5.7.1080,162.26.106.61.4237,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.180.88:3125,166.11.5.7.1080,169.50.180.88.3125,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.122:1436,166.11.5.7.1080,169.50.187.122.1436,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.187.122:1440,166.11.5.7.1080,169.50.187.122.1440,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.31:1240,166.11.5.7.1080,169.50.220.31.1240,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.220.31:1244,166.11.5.7.1080,169.50.220.31.1244,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.185.24:1763,166.11.5.7.1080,169.50.185.24.1763,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.185.24:1767,166.11.5.7.1080,169.50.185.24.1767,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.20:8277,166.11.5.7.1080,169.50.218.20.8277,180,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.218.20:8278,166.11.5.7.1080,169.50.218.20.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.181.31:8277,166.11.5.7.1080,169.50.181.31.8277,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.181.31:8278,166.11.5.7.1080,169.50.181.31.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:1430,166.11.5.7.1080,169.61.118.186.1430,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:1431,166.11.5.7.1080,169.61.118.186.1431,292,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.180.88:3145,166.11.5.7.1080,169.50.180.88.3145,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8196,166.11.5.7.1080,169.50.219.98.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8197,166.11.5.7.1080,169.50.219.98.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8198,166.11.5.7.1080,169.50.219.98.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8199,166.11.5.7.1080,169.50.219.98.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.50.219.98:8200,166.11.5.7.1080,169.50.219.98.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.226.195:8278,166.11.5.7.1080,162.26.226.195.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.226.195:8277,166.11.5.7.1080,162.26.226.195.8277,84,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8278,166.11.5.7.1080,169.42.143.59.8278,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.42.143.59:8277,166.11.5.7.1080,169.42.143.59.8277,633,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8226,166.11.5.7.1080,169.48.180.5.8226,391,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8227,166.11.5.7.1080,169.48.180.5.8227,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8228,166.11.5.7.1080,169.48.180.5.8228,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8229,166.11.5.7.1080,169.48.180.5.8229,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.48.180.5:8230,166.11.5.7.1080,169.48.180.5.8230,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:2867,166.11.5.7.1080,169.60.144.54.2867,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.60.144.54:2871,166.11.5.7.1080,169.60.144.54.2871,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8196,166.11.5.7.1080,169.61.118.186.8196,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8197,166.11.5.7.1080,169.61.118.186.8197,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8198,166.11.5.7.1080,169.61.118.186.8198,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8199,166.11.5.7.1080,169.61.118.186.8199,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-169.61.118.186:8200,166.11.5.7.1080,169.61.118.186.8200,0,0,ESTABLISHED,TCP,
166.11.5.7:1080-162.26.238.55:8197,166.11.5.7.1080,162.26.238.55.8197,0,0,FIN_WAIT_2,TCP,
166.11.5.7:1080-162.26.238.55:4088,166.11.5.7.1080,162.26.238.55.4088,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4091,166.11.5.7.1080,162.26.238.55.4091,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4093,166.11.5.7.1080,162.26.238.55.4093,0,0,TIME_WAIT,TCP,
166.11.5.7:1080-162.26.238.55:4095,166.11.5.7.1080,162.26.238.55.4095,0,0,TIME_WAIT,TCP,
