Seq,User,RIC,Reason,NumOfErrors
<!>Status,SampleTime,Mon May 23 16:24:32 BST 2011
<!>Description,Displays any rejected child from SORT
50,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (172.7)  Bid/Ask price (172.6)  more than 2.5% away.  Tolerance Range: 168.285 - 177.01749999999998,2,
51,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (173.1)  Bid/Ask price (173.1)  more than 2.5% away.  Tolerance Range: 168.77249999999998 - 177.42749999999998,1,
52,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (173.8)  Bid/Ask price (173.8)  more than 2.5% away.  Tolerance Range: 169.455 - 178.145,1,
53,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (174.0)  Bid/Ask price (173.8)  more than 2.5% away.  Tolerance Range: 169.455 - 178.35,1,
54,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (174.2)  Bid/Ask price (174.1)  more than 2.5% away.  Tolerance Range: 169.7475 - 178.55499999999998,1,
55,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (174.7)  Bid/Ask price (174.5)  more than 2.5% away.  Tolerance Range: 170.1375 - 179.06749999999997,1,
56,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (175.3)  Bid/Ask price (175.2)  more than 2.5% away.  Tolerance Range: 170.82 - 179.6825,1,
57,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (175.4)  Bid/Ask price (175.3)  more than 2.5% away.  Tolerance Range: 170.91750000000002 - 179.785,1,
58,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (175.5)  Bid/Ask price (175.1)  more than 2.5% away.  Tolerance Range: 170.7225 - 179.8875,1,
59,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (175.5)  Bid/Ask price (175.5)  more than 2.5% away.  Tolerance Range: 171.11249999999998 - 179.8875,1,
60,schwibri,UHR.VX,UHR.VX - Failed dynamic price validation against Last Traded price (176.7)  Bid/Ask price (176.6)  more than 2.5% away.  Tolerance Range: 172.185 - 181.11749999999998,1,
61,schwibri,UHR.VX,UHR.VX - Total order consideration less than traded currency limit,22,
62,woolmpau,ZOT_r.MC,ZOT_r.MC - Failed dynamic price validation against more than 3.0% away.  Tolerance Range: 100000.0 - 0.0,112,
63,woolmpau,ZOT_r.MC,ZOT_r.MC - Price 0.705 is not a multiple of ticksize: 0.01,58,
64, ,ALUA.PA,ALUA.PA - Crossing disabled,4,
65, ,AUSRq.L,AUSRq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX11:8000042c.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.062.  ClOrderID = 0615-AX11:8000042c.01,1,
66, ,AUSRq.L,AUSRq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX11:8000042e.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.115.  ClOrderID = 0615-AX11:8000042e.01,1,
67, ,CAGR.PA,CAGR.PA - Crossing disabled,3,
68, ,GAZPq.L,GAZPq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX21:8000049a.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.073.  ClOrderID = 0615-AX21:8000049a.01,1,
69, ,GAZPq.L,GAZPq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX21:8000049c.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.148.  ClOrderID = 0615-AX21:8000049c.01,1,
70, ,LKOHyq.L,LKOHyq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX22:800005f2.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.026.  ClOrderID = 0615-AX22:800005f2.01,1,
71, ,LKOHyq.L,LKOHyq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX22:800005f4.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.042.  ClOrderID = 0615-AX22:800005f4.01,1,
72, ,LKOHyq.L,LKOHyq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX22:800005f6.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.058.  ClOrderID = 0615-AX22:800005f6.01,1,
73, ,LOG.AS,LOG.AS - Minimum peak size is 10 or more,1,
74, ,ORTEq.L,ORTEq.L - Failed to validate strategy PASSTHROUGH for order 0615-AX22:800005f8.01. Auction Order Received after last allowable submission time. Current Time =08:12:30.075.  ClOrderID = 0615-AX22:800005f8.01,1,
