GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600222.SS,TALOPH PHARM    ,8.11,7.78,-9.99,6:59:58,Ok,RealTime,62384,1,
600223.SS,LUSHANG PROPERTY,7.03,6.84,-9.99,6:59:27,Ok,RealTime,5024,1,
600225.SS,TJ SONGJIANG    ,7.8,,-10.03,6:59:57,Ok,RealTime,20944,1,
600226.SS,SHENGHUA BIOK   ,,,,,Ok,RealTime,1264,1,
600227.SS,CHITIANHUA      ,7.08,7.5,-10.04,6:59:51,Ok,RealTime,5264,1,
600228.SS,CHANGJIU BIOCHEM,9.98,9.33,-8.78,6:59:59,Ok,RealTime,3376,1,
600229.SS,QINGDAO SODA    ,14.52,12.72,-5.65,6:59:59,Ok,RealTime,47392,1,
600230.SS,CANGZHOU DAHUA  ,9.75,10.11,-9.97,6:59:57,Ok,RealTime,38784,1,
600231.SS,LINGYUAN STEEL  ,5.28,,-10.05,6:59:52,Ok,RealTime,38592,1,
600232.SS,GOLDEN EAGLE    ,8.25,,-10.03,6:59:46,Ok,RealTime,59904,1,
600233.SS,DAYANG          ,13.97,12.49,-7.54,6:59:41,Ok,RealTime,17744,1,
600234.SS,GUANGHE         ,15.41,16.25,-9.99,6:59:51,Ok,RealTime,4048,1,
600235.SS,MINFENG PAPER   ,8.37,7.82,-10,6:59:46,Ok,RealTime,30496,1,
600236.SS,GUIGUAN ELEC    ,8.01,8.06,-10,6:59:59,Ok,RealTime,46784,1,
600237.SS,TONGFENG        ,6.85,,-9.63,6:59:59,Ok,RealTime,27568,1,
600238.SS,HAINAN YEDAO    ,12.02,,-9.96,6:59:30,Ok,RealTime,16912,1,
600239.SS,YN REAL ESTATE  ,6.78,,10.06,6:59:49,Ok,RealTime,40528,1,
600240.SS,HUAYE           ,13.2,,-10.02,6:59:28,Ok,RealTime,20384,1,
600241.SS,SHIDAI WANHENG  ,13.62,13.48,-9.98,6:57:53,Ok,RealTime,23760,1,
600242.SS,ZHONGCHANGMARINE,9.61,,-5.04,6:57:25,Ok,RealTime,62912,1,
600243.SS,HUADING         ,9.34,,-10.02,6:59:52,Ok,RealTime,13280,1,
600246.SS,VANTONE ESTATE  ,6.24,5.73,-9.96,6:59:55,Ok,RealTime,10480,1,
600247.SS,CHENG CHENG     ,16.23,17.51,-4.98,6:59:59,Ok,RealTime,48464,1,
600248.SS,YANCHANG PETRO  ,9.43,8.9,-10.02,6:59:51,Ok,RealTime,36400,1,
600249.SS,LIANGMIANZHEN   ,7.37,7.12,-10.01,6:59:51,Ok,RealTime,16560,1,
600250.SS,NANJING TEXTIL  ,9.06,8.71,-10.03,6:59:8,Ok,RealTime,8672,1,
600251.SS,GUANNONG FRUIT  ,10.9,,-8.94,6:59:59,Ok,RealTime,28784,1,
600252.SS,ZHONGHENG       ,20.63,,-9.99,6:59:53,Ok,RealTime,40480,1,
600255.SS,XINKE MATERIAL  ,5.85,,-8.45,6:59:59,Ok,RealTime,58832,1,
600256.SS,GUANGHUI ENERGY ,8.51,,-7.5,6:59:59,Ok,RealTime,41392,1,
600257.SS,DAHU AQUACULTURE,12.02,,-9.96,6:59:44,Ok,RealTime,52832,1,
600258.SS,CAPITAL TOUR    ,,,,,Ok,RealTime,1296,1,
600259.SS,RISING NONFERROU,38.03,39.84,-10.01,6:59:56,Ok,RealTime,53280,1,
600260.SS,KAILE           ,13.71,13.6,-9.98,6:59:57,Ok,RealTime,36576,1,
600261.SS,YANKON GROUP    ,7.99,8.69,-10.02,6:59:57,Ok,RealTime,63888,1,
600262.SS,NORTH JOINT     ,25.11,24.99,-10,6:59:51,Ok,RealTime,5952,1,
600265.SS,JINGGU FORESTRY ,17.24,16.47,-5.01,6:56:46,Ok,RealTime,25936,1,
600266.SS,BEIJING URBAN   ,15.35,,-9.97,6:59:59,Ok,RealTime,22448,1,
600267.SS,HISUN PHARM     ,15.09,14.01,-10.02,6:59:55,Ok,RealTime,26656,1,
600268.SS,GUODIAN NJ      ,9.04,9.43,-9.96,6:59:58,Ok,RealTime,57536,1,
600269.SS,GANYUE EXPRESS  ,5.57,5.83,-9.87,6:59:59,Ok,RealTime,17248,1,
600270.SS,SINOTRANS DEV   ,23.1,20.39,-6.36,6:59:59,Ok,RealTime,47632,1,
600271.SS,AISINO          ,61,,-2.84,6:59:58,Ok,RealTime,52880,1,
600272.SS,KAIKAI INDUST   ,11.99,11.66,-9.98,6:59:47,Ok,RealTime,21760,1,
600273.SS,JIAHUA ENERGY   ,12.13,,-10.01,6:59:57,Ok,RealTime,50496,1,
600275.SS,WUCHANGYU       ,6.67,6.13,-9.99,6:59:58,Ok,RealTime,17056,1,
600276.SS,HENGRUI MEDI    ,42.15,45.34,-8.19,6:59:59,Ok,RealTime,58800,1,
600277.SS,YILI ENERGY     ,,,,,Ok,RealTime,2000,1,
600278.SS,ORIENT INT      ,13.05,,0.23,6:59:59,Ok,RealTime,27520,1,
600279.SS,GANGJIU         ,10.51,10.74,-10.02,6:59:42,Ok,RealTime,63648,1,
600280.SS,CENTRAL EMPOR   ,,,,,Ok,RealTime,44224,1,
600281.SS,TAIYUAN CHEMICAL,6.65,6.38,-10.01,6:59:49,Ok,RealTime,5792,1,
600282.SS,NANJING STEEL   ,4.27,4.28,-9.92,6:59:58,Ok,RealTime,56528,1,
600283.SS,QIAN WATER      ,11.23,10.93,-10.02,6:59:58,Ok,RealTime,24240,1,
600284.SS,PUDONG CONS     ,12.47,11.89,-10.03,6:59:53,Ok,RealTime,62304,1,
600285.SS,HENAN LINGRUI   ,10.54,,-5.05,6:59:56,Ok,RealTime,56384,1,
600287.SS,JIANGSU SAINTY  ,9.64,9.44,-9.99,6:59:56,Ok,RealTime,20672,1,
600288.SS,DAHENG TECH     ,16.57,16.05,-9.99,6:59:59,Ok,RealTime,29888,1,
600289.SS,BRIGHT OCEANS   ,,,,,Ok,RealTime,14656,1,
600290.SS,HUAYI ELEC      ,,,,,Ok,RealTime,28384,1,
600291.SS,STRONG YEAR     ,,,,,Ok,RealTime,1312,1,
600292.SS,JIULONG ELEC    ,17.3,20.77,-9.99,6:59:58,Ok,RealTime,57648,1,
600293.SS,SANXIA MATERIA  ,8.17,,9.96,6:59:23,Ok,RealTime,64992,1,
600295.SS,EERDUOSI        ,9.25,10.16,-10.02,6:59:53,Ok,RealTime,54960,1,
