GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600673.SS,DONGYANGGUANG AL,8.15,,-9.24,6:59:59,Ok,RealTime,7104,1,
600674.SS,CHUANTOU ENER   ,11.16,10.78,-6.22,6:59:58,Ok,RealTime,8352,1,
600675.SS,CHINA ENTER     ,7.51,,-8.86,6:59:59,Ok,RealTime,21712,1,
600676.SS,JIAO YUN        ,13.15,17.2,-9.99,6:59:58,Ok,RealTime,54432,1,
600677.SS,AEROSPACE COMM  ,21.18,,0.76,6:59:59,Ok,RealTime,35328,1,
600678.SS,GOLD SUMMIT     ,13.28,12.2,-10.03,6:59:59,Ok,RealTime,41584,1,
600679.SS,JINSHAN DEVP    ,13.13,13.78,-10.01,6:59:53,Ok,RealTime,38960,1,
600680.SS,SHANGHAI POTEVIO,15.6,14.56,-9.98,6:59:45,Ok,RealTime,39904,1,
600681.SS,S WINOWNER GROUP,,,,,Ok,RealTime,1152,1,
600682.SS,NANJING DEPT    ,,,,,Ok,RealTime,1360,1,
600683.SS,METRO LAND      ,,,,,Ok,RealTime,36112,1,
600684.SS,PEARL RIVER     ,9.23,9.26,-9.95,6:59:55,Ok,RealTime,50304,1,
600685.SS,CSSC MARINE ENGI,42.9,42.37,-7.06,6:59:59,Ok,RealTime,21456,1,
600686.SS,KING LONG MOTO  ,17.64,17.45,-10,6:59:57,Ok,RealTime,23808,1,
600687.SS,GANGTAI HOLDING ,,,,,Ok,RealTime,64512,1,
600688.SS,S SH PECHEM     ,6.71,7.81,-10.05,6:59:59,Ok,RealTime,13792,1,
600689.SS,SANMAO GROUP    ,,,,,Ok,RealTime,1200,1,
600690.SS,QINGDAO HAIER   ,28.95,29.68,-1.06,6:59:59,Ok,RealTime,65088,1,
600691.SS,DONGXIN CARBON  ,3.91,4.29,-5.1,6:59:37,Ok,RealTime,25520,1,
600692.SS,YATONG          ,12.28,13.45,-9.97,6:59:47,Ok,RealTime,52192,1,
600693.SS,FUJIAN DONGBAI  ,9.1,,-7.14,6:59:55,Ok,RealTime,39344,1,
600694.SS,DASHANG         ,43.26,42.58,-9.19,6:59:57,Ok,RealTime,30496,1,
600695.SS,DAJIANG         ,6.94,,9.98,6:57:48,Ok,RealTime,52400,1,
600696.SS,SH DUOLUN       ,10,,1.94,6:59:58,Ok,RealTime,52144,1,
600697.SS,EURASIA GROUP   ,25.67,24.45,-9.71,6:59:57,Ok,RealTime,59520,1,
600698.SS,TYEN MACHINERY  ,7.13,7.36,-9.97,6:59:51,Ok,RealTime,52288,1,
600699.SS,JOYSON ELECTRONI,33.79,,-9.99,6:59:44,Ok,RealTime,17008,1,
600701.SS,GONG DA TECH    ,14.72,,8.24,6:59:59,Ok,RealTime,49520,1,
600702.SS,TUOPAISHEDE WINE,,,,,Ok,RealTime,1792,1,
600703.SS,SANAN OPTOELEC  ,25.74,,-10,6:59:57,Ok,RealTime,57648,1,
600704.SS,ZHONGDA GROUP   ,20.1,16.3,1.93,6:59:59,Ok,RealTime,34800,1,
600705.SS,AVIC CAPITAL    ,17.65,16.21,-9.25,6:59:59,Ok,RealTime,1744,1,
600706.SS,QUJIANG CULTURAL,15.32,,4.5,6:59:59,Ok,RealTime,31792,1,
600707.SS,IRICO DISPLAY   ,10.32,11.23,-10.03,6:59:57,Ok,RealTime,23584,1,
600708.SS,HAIBO           ,9.83,9.52,-9.98,6:59:50,Ok,RealTime,37952,1,
600710.SS,CHANGLIN        ,5.73,6.2,-4.98,6:58:23,Ok,RealTime,54992,1,
600711.SS,CHENGTUN MINING ,7.92,7.27,-10,6:59:58,Ok,RealTime,33008,1,
600712.SS,NANNING DEP     ,7.3,7.21,-9.99,6:59:56,Ok,RealTime,21600,1,
600713.SS,NANJING PHARMA  ,11.05,11.51,-10.02,6:59:57,Ok,RealTime,28608,1,
600714.SS,JINRUI MINERAL  ,10.56,9.71,-9.97,6:59:31,Ok,RealTime,65392,1,
600715.SS,*ST SONGLIAO    ,25.65,26.03,-5,6:59:48,Ok,RealTime,32320,1,
600716.SS,PHOENIX PROPERTY,7.39,,1.51,6:59:59,Ok,RealTime,45440,1,
600717.SS,TIANJIN PORT    ,12.38,13.17,-10.03,6:59:58,Ok,RealTime,40592,1,
600718.SS,NEUSOFT CORP    ,15.93,14.63,-10,6:59:59,Ok,RealTime,50448,1,
600719.SS,DALIAN POWER    ,,,,,Ok,RealTime,1296,1,
600720.SS,QILIANSHAN      ,8.03,8.37,-9.98,6:59:54,Ok,RealTime,38896,1,
600721.SS,BAIHUACUN       ,11.85,12.35,-10.02,6:59:58,Ok,RealTime,57648,1,
600722.SS,JINNIU CHEM     ,,,,,Ok,RealTime,1200,1,
600723.SS,CAPITAL RETAIL  ,8.72,9.02,-10.01,6:59:41,Ok,RealTime,37152,1,
600724.SS,NINGBO FUDA     ,6.74,6.63,-10.01,6:59:47,Ok,RealTime,26480,1,
600725.SS,YUNNAN YUNWEI   ,6.14,,-6.4,6:59:58,Ok,RealTime,42720,1,
600726.SS,HUADIAN ENERGY  ,8.09,8.36,-10.01,6:59:59,Ok,RealTime,56736,1,
600727.SS,LUBEI CHEMICAL  ,7.55,,5.15,6:59:58,Ok,RealTime,45776,1,
600728.SS,PCI-SUNTEK TECH ,27.32,,-10.01,6:59:48,Ok,RealTime,19232,1,
600729.SS,CHONGQING DEP   ,26.95,25.48,-9.99,6:59:50,Ok,RealTime,20688,1,
600730.SS,CHINA HI-TECH   ,18.18,,-5.66,6:59:59,Ok,RealTime,17488,1,
600731.SS,HUNAN HAILI     ,7.97,7.82,-9.94,6:59:26,Ok,RealTime,34432,1,
600732.SS,XINMEI          ,6.41,6.84,-5.04,6:58:58,Ok,RealTime,24592,1,
600733.SS,S QIAN FENG ELEC,47.49,54.3,-5,6:59:45,Ok,RealTime,25280,1,
600734.SS,START GROUP     ,,,,,Ok,RealTime,1168,1,
600735.SS,SD HIKING       ,22.8,,0.53,6:59:59,Ok,RealTime,20912,1,
600736.SS,SUZHOU HI-TECH  ,8.59,8,-9.96,6:59:54,Ok,RealTime,4448,1,
600737.SS,COFCO TUNHE     ,15.09,15.63,-10.02,6:59:59,Ok,RealTime,37776,1,
600738.SS,LANZHOU MINBAI  ,7.74,7.52,-10,6:59:26,Ok,RealTime,25824,1,
600739.SS,CHENG DA        ,,,,,Ok,RealTime,9824,1,
600740.SS,SHANXI COKING   ,5.97,6.14,-9.95,6:59:50,Ok,RealTime,54864,1,
600741.SS,HUAYU AUTOMOTIVE,16.8,19.13,-10.02,6:59:59,Ok,RealTime,28960,1,
600742.SS,FAWAY AUTO      ,23.42,23.57,-9.82,6:59:59,Ok,RealTime,23008,1,
600743.SS,HUAYUAN PROPERTY,6.5,6.45,-9.85,6:59:56,Ok,RealTime,41168,1,
600744.SS,HUAYIN ELEC     ,8.2,8.68,-9.99,6:59:58,Ok,RealTime,416,1,
600745.SS,JOIN IN         ,31.67,,-10,6:59:50,Ok,RealTime,8304,1,
600746.SS,JIANGSU SOPO    ,9.11,9.22,-9.98,6:59:49,Ok,RealTime,58160,1,
600747.SS,DALIAN DAXIAN   ,,,,,Ok,RealTime,52080,1,
600748.SS,SH IND DEVELOP  ,11.78,11.57,-10.01,6:59:48,Ok,RealTime,25328,1,
600749.SS,TIBET TOURISM   ,15.38,12.22,4.06,6:59:59,Ok,RealTime,45648,1,
600750.SS,JIANGZHONG PHM  ,40,34.84,5.49,6:59:59,Ok,RealTime,37760,1,
600751.SS,TIC             ,9.47,10.4,-9.98,6:59:48,Ok,RealTime,16304,1,
600753.SS,ORIENTAL S STAR ,,,,,Ok,RealTime,1104,1,
600754.SS,JINJIANG HOTEL  ,,,,,Ok,RealTime,63200,1,
600755.SS,XIAMEN ITG      ,8.74,8.69,-9.99,6:59:52,Ok,RealTime,1008,1,
600756.SS,INSPUR SOFT     ,24.96,,-9.99,6:59:46,Ok,RealTime,45648,1,
600757.SS,CHANGJIANG PU&ME,9.8,9,-10.01,6:59:59,Ok,RealTime,40464,1,
600758.SS,LIAONING HONGYAN,11.01,11.04,-9.98,6:59:34,Ok,RealTime,31008,1,
600759.SS,GEO JADE        ,10.12,,-9.96,6:59:59,Ok,RealTime,21936,1,
600760.SS,ZHONGHANG HEIBAO,15.45,14.98,-9.86,6:59:59,Ok,RealTime,6224,1,
600761.SS,HELI            ,13.59,13.75,-10,6:59:59,Ok,RealTime,40592,1,
600763.SS,TC MEDICAL INV  ,,,,,Ok,RealTime,1168,1,
600764.SS,CEC CORECAST    ,15.06,14.86,-9.98,6:59:11,Ok,RealTime,64624,1,
600765.SS,AVIC HEAVY      ,20.39,18.92,-10.02,6:59:52,Ok,RealTime,2144,1,
600766.SS,YANTAI YUANCHENG,11.98,,8.81,6:59:56,Ok,RealTime,464,1,
600767.SS,WINSAN INDUS    ,19.37,,-9.99,6:59:54,Ok,RealTime,32496,1,
600768.SS,NINGBO FUBANG   ,15.44,14.92,-10.02,6:59:58,Ok,RealTime,63552,1,
600769.SS,XIANGLONG POW   ,7.97,,2.71,6:59:54,Ok,RealTime,51792,1,
600770.SS,ZONGYI          ,13.52,,-4.25,6:59:59,Ok,RealTime,47168,1,
600771.SS,TOPSUN TECH     ,39.22,,-10,6:59:40,Ok,RealTime,800,1,
600773.SS,TIBET URBAN INV ,12.42,12.01,-10,6:59:39,Ok,RealTime,7408,1,
600774.SS,HANGSHANG       ,18.61,21.13,-10.01,6:59:34,Ok,RealTime,56592,1,
600775.SS,NANJING PANDA   ,13.57,13.3,-10.01,6:59:40,Ok,RealTime,30720,1,
600776.SS,EASTERN COMMS   ,11.97,13.09,-10,6:59:45,Ok,RealTime,24208,1,
600777.SS,XINCHAO INDUST  ,,,,,Ok,RealTime,2864,1,
600778.SS,XJ YOUHAO       ,,,,,Ok,RealTime,1312,1,
600779.SS,SWELLFUN        ,10.1,10.76,-4.99,6:59:59,Ok,RealTime,3008,1,
600780.SS,TOP ENERGY      ,7.77,8.18,-9.97,6:59:59,Ok,RealTime,26528,1,
600781.SS,FUREN PHARMACEU ,16.72,15.41,-10.01,6:59:57,Ok,RealTime,46144,1,
600782.SS,XINYU IRON      ,5.46,5.17,-10.05,6:59:58,Ok,RealTime,9392,1,
600783.SS,LUXIN VENTURE   ,24.53,24.1,-9.98,6:59:49,Ok,RealTime,59104,1,
600784.SS,LUYIN INVEST    ,9.85,10.33,-9.96,6:59:47,Ok,RealTime,6496,1,
600785.SS,XINHUA COMMER   ,21.56,19.79,-9.98,6:59:49,Ok,RealTime,63344,1,
600787.SS,ZHONGCHU        ,10.82,10.63,-9.98,6:59:55,Ok,RealTime,63344,1,
600789.SS,LUKANG PHARM    ,10.86,10.45,-10.02,6:59:58,Ok,RealTime,13616,1,
600790.SS,TEXTILE CITY    ,,,,,Ok,RealTime,1840,1,
600791.SS,BEIH PROPERTY   ,7.07,,-5.1,6:59:58,Ok,RealTime,17488,1,
600792.SS,YUNNAN COAL ENGY,5.42,5.51,-9.97,6:59:57,Ok,RealTime,60784,1,
600793.SS,YIBIN PAPER     ,,,,,Ok,RealTime,1200,1,
600794.SS,FREETRADE TECH  ,6.61,6.49,-9.95,6:59:59,Ok,RealTime,54400,1,
600795.SS,GD POWER        ,4.91,5.21,-10.07,6:59:59,Ok,RealTime,24704,1,
600796.SS,QIANJIANG       ,8.99,8.25,-10.01,6:59:58,Ok,RealTime,36224,1,
600797.SS,INSIGMA         ,12.54,,-9.98,6:59:59,Ok,RealTime,5072,1,
600798.SS,NINGBO MARINE   ,6.71,6.69,-9.93,6:59:59,Ok,RealTime,6336,1,
600800.SS,TIANJIN GLOBAL  ,8.96,8.57,-10.04,6:59:56,Ok,RealTime,59808,1,
600801.SS,HUAXIN CEMENT   ,9.08,10.09,-9.02,6:59:58,Ok,RealTime,37744,1,
600802.SS,FUJIAN CEMENT   ,7.13,7.22,-9.97,6:59:54,Ok,RealTime,5376,1,
600803.SS,ENN-EC          ,14.5,15.71,-9.99,6:59:37,Ok,RealTime,12480,1,
600804.SS,DR. PENG        ,,,,,Ok,RealTime,17280,1,
600805.SS,YUEDA INVEST    ,13.21,13.76,-10.01,6:59:52,Ok,RealTime,36832,1,
600806.SS,KUNMING MACHINE ,,,,,Ok,RealTime,2176,1,
600807.SS,TYAN HOME       ,,,,,Ok,RealTime,1712,1,
600808.SS,MAANSHAN IRON   ,4.31,4.66,-10.02,6:59:59,Ok,RealTime,49360,1,
600809.SS,SHANXI FENJIU   ,17.62,19.16,-9.69,6:59:59,Ok,RealTime,32896,1,
600810.SS,SHENMA INDU     ,7.38,7.25,-10,6:59:45,Ok,RealTime,15824,1,
600811.SS,ORIENT GROUP    ,9.17,9.55,-9.92,6:59:58,Ok,RealTime,53584,1,
600812.SS,N. CHINA PHARM  ,8.23,8.62,-9.96,6:59:50,Ok,RealTime,64000,1,
600814.SS,HZ JIEBAI       ,10.56,11.54,-9.97,6:59:50,Ok,RealTime,41008,1,
600815.SS,XIAMEN XGMA     ,12.11,13.63,-10.03,6:59:59,Ok,RealTime,42976,1,
600816.SS,ANXIN TRUST     ,39.46,,-7.98,6:59:58,Ok,RealTime,57136,1,
600817.SS,HONGSHENG       ,,,,,Ok,RealTime,1104,1,
600818.SS,ZHONGLU         ,57.16,,10.01,6:59:55,Ok,RealTime,32192,1,
600819.SS,SYP GLASS       ,6.79,6.7,-9.95,6:59:33,Ok,RealTime,33104,1,
600820.SS,SH TUNNEL ENG   ,10.17,9.82,-10,6:59:51,Ok,RealTime,47296,1,
600821.SS,TIANJIN QUANYE  ,7.37,,1.24,6:59:58,Ok,RealTime,45824,1,
600822.SS,SH TRADING      ,9.22,9.22,-9.96,6:59:55,Ok,RealTime,42000,1,
600823.SS,SH SHI MAO      ,11.78,13.56,-10.01,6:59:59,Ok,RealTime,9136,1,
600824.SS,YIMIN           ,6.98,6.9,-10.05,6:59:59,Ok,RealTime,51408,1,
600825.SS,SH XINHUA MEDIA ,11.91,12.47,-9.98,6:59:58,Ok,RealTime,32032,1,
600826.SS,LANSHENG        ,25.33,24.84,-9.99,6:59:59,Ok,RealTime,7344,1,
600827.SS,BAILIAN         ,17.26,17.45,-10.01,6:59:57,Ok,RealTime,50208,1,
600828.SS,CHENGSHANG GROUP,8.2,,-9.99,6:59:48,Ok,RealTime,59840,1,
600829.SS,SANJING PHARM   ,13.41,12.75,-10,6:59:58,Ok,RealTime,34768,1,
600830.SS,SUNNY LOAN TOP  ,9.84,9.04,-9.97,6:59:58,Ok,RealTime,22912,1,
600831.SS,BROADCAST & TV  ,14.19,13.04,-10.02,6:59:52,Ok,RealTime,9088,1,
600833.SS,NO. 1 PHARMACY  ,16.1,14.78,-10.01,6:59:47,Ok,RealTime,14064,1,
600834.SS,SHENTONG METRO  ,15.7,16.59,-9.98,6:59:54,Ok,RealTime,23248,1,
600835.SS,SH MECHANICAL   ,27.63,27.19,-10,6:59:53,Ok,RealTime,27296,1,
600836.SS,JIELONG         ,19.96,17.45,-5.49,6:59:59,Ok,RealTime,63376,1,
600837.SS,HAITONG SEC     ,19.73,22.29,-3.28,6:59:59,Ok,RealTime,36720,1,
600838.SS,JOIN BUY        ,9.68,8.88,-9.95,6:59:54,Ok,RealTime,13504,1,
600839.SS,CHANGHONG ELEC  ,7.19,7.03,-10.01,6:59:59,Ok,RealTime,13792,1,
600841.SS,SH DIESEL ENG   ,11.18,10.99,-9.98,6:59:52,Ok,RealTime,43632,1,
600843.SS,SGSB GROUP      ,13.73,13.4,-10.03,6:59:52,Ok,RealTime,15456,1,
600844.SS,DANHUA CHEM     ,8.24,,-10.04,6:59:57,Ok,RealTime,48352,1,
600845.SS,BAOSIGHT        ,60.22,,-10,6:59:49,Ok,RealTime,27248,1,
600846.SS,TONGJI TECH     ,8.48,,4.82,6:59:59,Ok,RealTime,52208,1,
600847.SS,WANLI           ,20.44,,1.59,6:59:59,Ok,RealTime,52864,1,
600848.SS,AUTOM INSTRU    ,22.1,25.61,-10.02,6:59:59,Ok,RealTime,4496,1,
600850.SS,E CHINA COMP    ,45.98,37.7,0.79,6:59:57,Ok,RealTime,24016,1,
600851.SS,HAIXIN GROUP    ,9.58,8.48,-6.63,6:59:59,Ok,RealTime,22928,1,
600853.SS,LONGJIAN        ,8.03,6.63,0.12,6:59:59,Ok,RealTime,19648,1,
600854.SS,JS CHUNLAN      ,6.64,6.38,-10.03,6:59:58,Ok,RealTime,48560,1,
600855.SS,AEROSPACE CF    ,27.42,28.53,-10.01,6:59:45,Ok,RealTime,22528,1,
600856.SS,CHANGCHUN DEP   ,19.18,,-10,6:59:54,Ok,RealTime,2816,1,
600857.SS,NINGBO ZHONGBAI ,15.23,14.28,-9.99,6:59:50,Ok,RealTime,40672,1,
600858.SS,SILVER PLAZA    ,10.45,11.12,-9.99,6:59:58,Ok,RealTime,11232,1,
600859.SS,WANGFUJING      ,23.73,24.61,-10.01,6:59:51,Ok,RealTime,25056,1,
600860.SS,JINGCHENG MACHI ,,,,,Ok,RealTime,1920,1,
600861.SS,URBAN & RURAL   ,12.78,12.36,-10,6:59:34,Ok,RealTime,40944,1,
600862.SS,TONTEC TECH     ,18.18,16.93,-10,6:59:54,Ok,RealTime,13296,1,
600863.SS,MENGDIAN        ,5.27,5.34,-10.07,6:59:59,Ok,RealTime,28048,1,
600864.SS,HARBIN HATOU    ,12.69,13.07,-10,6:59:49,Ok,RealTime,63024,1,
600865.SS,BAIDA GROUP     ,12.75,,-10.02,6:59:52,Ok,RealTime,34016,1,
600866.SS,STAR LAKE       ,,,,,Ok,RealTime,1120,1,
600867.SS,DONGBAO PHARM   ,,,,,Ok,RealTime,53440,1,
600868.SS,MEIYAN JIXIANG  ,4.37,4.02,-10.08,6:59:58,Ok,RealTime,4768,1,
600869.SS,SMARTER ENERGY  ,,,,,Ok,RealTime,1104,1,
600870.SS,XIAMEN ELEC     ,,,,,Ok,RealTime,1120,1,
600871.SS,SINOPEC OILFIELD,8.18,10.16,-10.01,6:59:59,Ok,RealTime,47600,1,
600872.SS,JONJEE TECH     ,,,,,Ok,RealTime,2000,1,
600873.SS,MEIHUA HOLDINGS ,7.94,7.29,-9.98,6:59:59,Ok,RealTime,49808,1,
600874.SS,TIANJIN CAP     ,9.79,9.52,-10.02,6:59:54,Ok,RealTime,41040,1,
600875.SS,DONGFANG ELEC   ,15.1,15.11,-10.01,6:59:58,Ok,RealTime,48752,1,
600876.SS,LUOYANG GLASS   ,12.5,12.83,-10.01,6:59:55,Ok,RealTime,22528,1,
600877.SS,CH JIALING IND  ,7.15,7.08,-9.95,6:59:52,Ok,RealTime,23504,1,
600879.SS,AEROSPACE ELEC  ,,,,,Ok,RealTime,1840,1,
600880.SS,B-RAY MEDIA     ,11.3,10.37,-9.96,6:59:56,Ok,RealTime,3936,1,
600881.SS,JILIN YATAI     ,9.17,9.53,-3.68,6:59:59,Ok,RealTime,47056,1,
600882.SS,DACHENG PESTIC  ,,,,,Ok,RealTime,1104,1,
600883.SS,BOWIN TECH      ,12.44,11.42,-9.99,6:58:56,Ok,RealTime,10896,1,
600884.SS,SHANSHAN CO     ,25.58,,-6.3,6:59:59,Ok,RealTime,20592,1,
600885.SS,HONGFA TECH     ,30.87,32.05,-9.95,6:59:59,Ok,RealTime,58576,1,
600886.SS,HUAJING         ,,,,,Ok,RealTime,2112,1,
600887.SS,YILI COMPANY    ,18.79,19.92,1.35,6:59:59,Ok,RealTime,48496,1,
600888.SS,XINJIANG JOINW  ,8.45,7.76,-10.01,6:59:59,Ok,RealTime,25488,1,
600889.SS,NANJING FIBRE   ,10.38,9.53,-9.97,6:59:37,Ok,RealTime,31904,1,
600890.SS,CRED HOLDING    ,,,,,Ok,RealTime,51520,1,
600891.SS,S CHURIN GROUP  ,8.29,,-6.64,6:59:52,Ok,RealTime,30944,1,
600892.SS,BAOCHENG INVEST ,41.48,43.08,-10,6:58:53,Ok,RealTime,14192,1,
600893.SS,AVIC ENGINE     ,43.11,34.29,3.9,6:59:59,Ok,RealTime,41152,1,
600894.SS,GUANGRI STOCK   ,16.83,16.49,-10,6:59:54,Ok,RealTime,27728,1,
600895.SS,ZHANGJIANG      ,22.48,21.31,-10.01,6:59:59,Ok,RealTime,27632,1,
600896.SS,CHINA HAISHENG  ,12.95,,-10.01,6:59:52,Ok,RealTime,34688,1,
600897.SS,XIAMEN AIRPORT  ,21.74,21.86,-10.02,6:59:59,Ok,RealTime,12624,1,
600898.SS,SANLIAN COMM    ,11.45,11.35,-9.98,6:59:48,Ok,RealTime,27728,1,
600900.SS,YANGTZE POWER   ,,,,,Ok,RealTime,2016,1,
600917.SS,CHQ GAS ORD A   ,10.96,11.58,-10.02,6:59:43,Ok,RealTime,48688,1,
600958.SS,ORIENT SECURITY ,24.86,28.05,-7.31,6:59:59,Ok,RealTime,4304,1,
600959.SS,JIANGSU CABLE   ,22.55,22.21,-10.02,6:59:59,Ok,RealTime,63232,1,
600960.SS,BOHAI PISTON    ,10.03,9.21,-9.96,6:59:58,Ok,RealTime,34192,1,
600961.SS,ZHUZHOU SMELTER ,8.33,,-7.34,6:59:58,Ok,RealTime,27824,1,
600962.SS,SDIC ZHONGLU    ,14.61,15.47,-5.01,6:59:54,Ok,RealTime,31392,1,
600963.SS,YUEYANG PAPER   ,6.75,,-1.03,6:59:59,Ok,RealTime,33904,1,
600965.SS,FORTUNE NG      ,11.56,,-2.03,6:59:59,Ok,RealTime,45120,1,
600966.SS,BOHUI           ,5.27,,-5.89,6:59:55,Ok,RealTime,47056,1,
600967.SS,BEIFANG CHUANG  ,,,,,Ok,RealTime,2000,1,
600969.SS,HUNAN CHENDIAN  ,15.58,14.66,-9.99,6:59:50,Ok,RealTime,53712,1,
600970.SS,SINOMA ENGINE   ,11.39,10.64,-9.96,6:59:59,Ok,RealTime,13776,1,
600971.SS,HENGYUAN COAL   ,6.43,6.73,-9.94,6:59:57,Ok,RealTime,29760,1,
600973.SS,BAOSHENG        ,10.67,9.8,-10.03,6:59:58,Ok,RealTime,27168,1,
600975.SS,NEW WELLFUL     ,12.7,,-2.83,6:59:58,Ok,RealTime,12608,1,
600976.SS,WUHAN JIANMIN   ,28.8,26.59,-10,6:59:35,Ok,RealTime,25424,1,
600978.SS,YIHUA TIMBER    ,,,,,Ok,RealTime,2048,1,
600979.SS,GUANGAN         ,6.27,6.04,-10.04,6:59:59,Ok,RealTime,5408,1,
600980.SS,BGRIMM MAGNET   ,19.05,17.97,-8.59,6:59:59,Ok,RealTime,63088,1,
600981.SS,HIGH HOPE       ,10.11,,-9.97,6:59:58,Ok,RealTime,21232,1,
600982.SS,NINGBO THERMAL  ,6.03,5.94,-10,6:59:50,Ok,RealTime,39504,1,
600983.SS,HEFEI SANYO     ,14.88,13.53,9.98,6:59:56,Ok,RealTime,53008,1,
600984.SS,SHAANXI CONSTR  ,8.4,8.94,-4.98,6:59:53,Ok,RealTime,14192,1,
600985.SS,LEIMINGKEHUA    ,11.66,10.7,-9.96,6:59:52,Ok,RealTime,40272,1,
600986.SS,KEDA GROUP      ,24.05,30.05,-9.99,6:59:31,Ok,RealTime,53680,1,
600987.SS,HANGMIN         ,10.68,9.72,-9.18,6:59:57,Ok,RealTime,33776,1,
600988.SS,JILONG GOLD     ,13.07,,-9.99,6:59:55,Ok,RealTime,23264,1,
600990.SS,SUNCREATE ELEC  ,72.21,67.44,-10,6:59:56,Ok,RealTime,46864,1,
600992.SS,GUIZHOU ROPE    ,11.8,10.68,-8.74,6:59:58,Ok,RealTime,12368,1,
600993.SS,MAYINGLONG      ,26.52,24.35,-10.01,6:59:57,Ok,RealTime,19616,1,
600995.SS,WENSHAN ELEC    ,9.25,9.1,-10.02,6:59:56,Ok,RealTime,18464,1,
600997.SS,KAILUAN         ,6.26,6.8,-9.93,6:59:58,Ok,RealTime,50496,1,
600998.SS,JOINTOWN PHARMA ,22.28,,-10.02,6:59:59,Ok,RealTime,33312,1,
600999.SS,CHINA MERCHANTS ,23.47,26.7,-4.75,6:59:59,Ok,RealTime,63056,1,
601000.SS,TANGSHAN PORT   ,9.23,9.27,-9.95,6:59:57,Ok,RealTime,28176,1,
601001.SS,DATONG COAL     ,6.46,6.99,-10.03,6:59:58,Ok,RealTime,36144,1,
601002.SS,GEM YEAR IND    ,10.71,10.37,-10,6:59:51,Ok,RealTime,2064,1,
601003.SS,LIUZHOU STEEL   ,,,,,Ok,RealTime,1264,1,
601005.SS,CHONGQING STEEL ,4.16,4.09,-9.96,6:59:59,Ok,RealTime,53296,1,
601006.SS,DAQIN RAILWAY   ,11.32,12.14,0,6:59:59,Ok,RealTime,57888,1,
601007.SS,JINLING HOTEL   ,15.29,16.81,-10.01,6:59:17,Ok,RealTime,52880,1,
601008.SS,LIANYUNGANG PORT,6.59,6.33,-9.97,6:59:59,Ok,RealTime,58576,1,
601009.SS,BANK OF NANJING ,17.7,18.48,-2.16,6:59:59,Ok,RealTime,16224,1,
601010.SS,WENFENG CHAIN   ,8.16,8.18,-10.03,6:59:59,Ok,RealTime,24992,1,
601011.SS,BAOTAILONG COAL ,12.36,,-5.36,6:59:59,Ok,RealTime,10048,1,
601012.SS,LONGI SILICON   ,12.17,11.74,-9.99,6:59:59,Ok,RealTime,9984,1,
601015.SS,SHX HEIMAO ORD A,12.59,12.43,-10.01,6:59:45,Ok,RealTime,13376,1,
601016.SS,CECEP W-P ORD A ,20.9,,-0.52,6:59:59,Ok,RealTime,59792,1,
601018.SS,NINGBO PORT     ,7.28,7.23,-10.01,6:59:59,Ok,RealTime,43264,1,
601021.SS,SPRING AIRLINES ,,,,,Ok,RealTime,1328,1,
601028.SS,YULONG STEELPIPE,9.01,,-2.91,6:59:59,Ok,RealTime,20992,1,
601038.SS,FIRST TRACTOR   ,9.79,9.47,-10.02,6:59:43,Ok,RealTime,42592,1,
601058.SS,SAILUN          ,8.6,8.06,-9.95,6:59:58,Ok,RealTime,7376,1,
601069.SS,WESTERN GOLD    ,14.14,13.65,-9.99,6:59:55,Ok,RealTime,43888,1,
601088.SS,CHINA SHENHUA   ,19.98,21.93,-0.5,6:59:59,Ok,RealTime,43792,1,
601098.SS,CHINA SOUTH     ,22.01,22.45,-10.02,6:59:50,Ok,RealTime,12720,1,
601099.SS,PACIFIC SEC     ,9.79,11.51,-10.02,6:59:59,Ok,RealTime,18304,1,
601100.SS,HENGLI CYLINDER ,15.31,,-9.99,6:59:57,Ok,RealTime,96,1,
601101.SS,HAOHUA ENERGY   ,7.68,8.22,-9.96,6:59:52,Ok,RealTime,53024,1,
601106.SS,CN FIRST HEAVY  ,9.38,9.27,-9.98,6:59:59,Ok,RealTime,41072,1,
601107.SS,SICHUAN EXPRESS ,5.17,5.16,-9.93,6:59:58,Ok,RealTime,54880,1,
601111.SS,AIR CHINA       ,,,,,Ok,RealTime,2416,1,
601113.SS,HUADING NYLON   ,6.92,,-4.95,6:59:56,Ok,RealTime,65200,1,
601116.SS,SANJIANG SHOPPIN,8.97,9.27,-10.03,6:59:58,Ok,RealTime,9472,1,
601117.SS,CN CHEMICAL     ,7.88,8.73,-8.9,6:59:59,Ok,RealTime,57440,1,
601118.SS,HAINAN RUBBER   ,6.94,,-4.41,6:59:59,Ok,RealTime,14544,1,
601126.SS,SIFANG AUTO     ,28.15,,-10.01,6:59:42,Ok,RealTime,29264,1,
601137.SS,POWERWAY ALLOY  ,18.68,18.66,-10.02,6:58:21,Ok,RealTime,50336,1,
601139.SS,SHENZHEN GAS    ,8.68,9.36,-9.96,6:59:56,Ok,RealTime,1728,1,
