GENEOS Status Report,
Monday 20 Jul 2015 17:35:44,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,KRW,2059.23,KOSPI           ,2072.91,13.68,2068.38,9:3:30,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
041650.KS,SANGSIN BRAKE   ,6070,5750,3.23,6:10:0,Ok,RealTime,32990,1,
042660.KS,DAEWOO SHIPBUILD,8750,13200,-30,6:29:59,Ok,RealTime,47360,2,
042670.KS,DOOSAN INFRACORE,9540,9700,-0.42,6:29:7,Ok,RealTime,7758,1,
042700.KS,HANMI SEMICON   ,13350,13300,-1.11,6:28:4,Ok,RealTime,30126,1,
044380.KS,JOOYONTECH      ,678,668,-2.16,6:0:30,Ok,RealTime,39726,1,
044450.KS,KSS LINE        ,18000,17650,0,6:0:30,Ok,RealTime,9966,1,
044820.KS,COSMAX BTI      ,95500,89800,1.27,6:0:15,Ok,RealTime,7934,1,
047040.KS,DAEWOO ENG&CONST,6490,6150,1.41,6:28:49,Ok,RealTime,62928,1,
047050.KS,DAEWOO INTL     ,25150,25050,-5.45,6:26:28,Ok,RealTime,24926,1,
047400.KS,SY MATERIAL     ,2280,2225,-0.44,6:0:30,Ok,RealTime,60014,1,
047810.KS,KOREA AEROSPACE ,80500,78800,0,6:27:29,Ok,RealTime,15902,1,
049770.KS,DONGWON F B     ,453500,398000,2.37,6:19:50,Ok,RealTime,31934,1,
049800.KS,WOOJIN PLAIMM   ,4375,4320,0.34,6:0:30,Ok,RealTime,33454,1,
051310.KS,POSCO PLANTEC   ,1875,2020,0.81,6:24:47,Ok,RealTime,18510,1,
051600.KS,KEPCO PLANT S&E ,123000,113000,-0.81,6:15:7,Ok,RealTime,40976,4,
051630.KS,CHIN YANG CHEM  ,4230,4290,-1.05,6:10:0,Ok,RealTime,56974,1,
051900.KS,LG HOUSEHOLD    ,731000,710000,-2.4,6:29:59,Ok,RealTime,55422,1,
051910.KS,LG CHEM         ,261000,259000,4.4,6:21:12,Ok,RealTime,49406,1,
052690.KS,KEPCO E&C       ,37450,36600,-0.13,6:0:10,Ok,RealTime,39230,1,
053210.KS,KT SKYLIFE      ,22750,21050,4.36,6:28:45,Ok,RealTime,54654,1,
053690.KS,HANMIGLOBAL     ,14250,14800,-5.94,6:29:57,Ok,RealTime,7856,1,
055550.KS,SHINHAN FINANC  ,39300,39150,-3.79,6:29:37,Ok,RealTime,42750,1,
057050.KS,HD HOME SHOPPING,110500,107500,-0.45,6:10:0,Ok,RealTime,31454,1,
058430.KS,POSCO C&C STL   ,18800,18400,-3.59,6:10:0,Ok,RealTime,49214,1,
058650.KS,SEAH HOLDINGS   ,201000,200500,-0.5,6:0:30,Ok,RealTime,35486,1,
058730.KS,DONG-A S TECH   ,4690,4540,-0.21,6:0:30,Ok,RealTime,56334,1,
058850.KS,KTCS            ,4430,4165,-0.23,6:28:30,Ok,RealTime,55118,1,
058860.KS,KTIS            ,7600,6820,-0.26,6:29:46,Ok,RealTime,55710,1,
060980.KS,HALLA HOLDINGS  ,46800,45750,1.85,6:29:39,Ok,RealTime,64462,1,
063160.KS,CKD BIO         ,33200,31600,-1.34,6:25:55,Ok,RealTime,61118,1,
064350.KS,HYUNDAI-ROTEM   ,19650,20300,-0.25,6:29:53,Ok,RealTime,38062,1,
064960.KS,S&T MOTIV       ,63000,61100,0.64,6:22:46,Ok,RealTime,24782,1,
066570.KS,LG ELECTRONICS  ,44250,44750,1.49,6:29:41,Ok,RealTime,57424,1,
067830.KS,SAVEZONE I C    ,6010,5850,0.84,6:0:25,Ok,RealTime,57726,1,
068290.KS,SAMSUNG PUBLISH ,10000,9440,-1.48,6:11:40,Ok,RealTime,36638,1,
068400.KS,AJ RENT A CAR   ,14150,13500,-1.39,6:19:10,Ok,RealTime,52798,1,
068870.KS,LG LIFE SCIENCES,74100,71000,-1.07,6:27:39,Ok,RealTime,23838,1,
069260.KS,HUCHEMS CHEM    ,23950,23750,-3.23,6:23:13,Ok,RealTime,40734,1,
069460.KS,DAEHO AL        ,1985,1995,-3.87,6:28:57,Ok,RealTime,59502,1,
069620.KS,DAEWOONG PHARM  ,104500,101500,-0.48,6:29:45,Ok,RealTime,16862,1,
069640.KS,MK TREND        ,16650,16400,-3.2,6:25:13,Ok,RealTime,8766,1,
069730.KS,DSR WIRE        ,3570,3575,-0.14,6:0:29,Ok,RealTime,18622,1,
069960.KS,HYUNDAI DEPT    ,136000,139500,0.37,6:22:15,Ok,RealTime,61406,1,
071050.KS,KR INV HOLDINGS ,63900,61100,0,6:11:28,Ok,RealTime,1998,1,
071090.KS,HISTEEL         ,22950,21150,1.55,6:25:53,Ok,RealTime,58478,1,
071320.KS,KR DISTRICT HEAT,73400,70000,-0.41,6:0:30,Ok,RealTime,17102,1,
071840.KS,LOTTE HIMART    ,69700,67000,0.87,6:27:50,Ok,RealTime,24942,1,
071950.KS,KOAS            ,2380,2245,1.28,6:20:39,Ok,RealTime,35486,1,
071970.KS,STX HEAVY INDUS ,7860,7450,0,6:10:0,Ok,RealTime,44494,1,
072130.KS,UANGEL          ,5300,5100,0,6:25:57,Ok,RealTime,23502,1,
072710.KS,NONGSHIM HOLDING,122000,115000,-3.17,6:0:21,Ok,RealTime,37374,1,
073240.KS,KUMHO TIRE      ,7620,7130,4.67,6:27:43,Ok,RealTime,46798,1,
074610.KS,EN3             ,1620,1250,3.85,6:10:0,Ok,RealTime,7918,1,
075180.KS,SAERON AUTO     ,9440,9500,0.11,6:0:18,Ok,RealTime,22542,1,
077500.KS,UNIQUEST        ,4050,4055,-0.61,6:26:0,Ok,RealTime,11454,1,
077970.KS,STX ENGINE      ,8370,8260,-2.33,6:0:30,Ok,RealTime,50926,1,
078000.KS,TELCOWARE       ,16000,16350,0,6:0:30,Ok,RealTime,33822,1,
078520.KS,ABLE C&C        ,27800,27000,2.96,6:23:11,Ok,RealTime,33646,1,
078930.KS,GS HOLDINGS     ,48450,48700,-0.41,6:10:0,Ok,RealTime,44158,1,
079160.KS,CJ CGV          ,118000,116000,-2.48,6:29:12,Ok,RealTime,9806,1,
079430.KS,HYUNDAILIVART   ,75800,68400,0.4,6:21:13,Ok,RealTime,126,1,
079660.KS,SAJOHAEPYO      ,23300,20050,13.66,6:26:1,Ok,RealTime,542,1,
079980.KS,HUVIS           ,10100,10050,-1.46,6:14:53,Ok,RealTime,59614,1,
081000.KS,ILJIN DIAMOND   ,6570,6470,0.46,6:0:10,Ok,RealTime,44174,1,
081660.KS,FILA KOREA      ,110000,106500,0.46,6:29:57,Ok,RealTime,10046,1,
082640.KS,TONGYANG LIFE   ,13850,14200,-3.48,6:26:41,Ok,RealTime,30062,1,
082740.KS,DOOSAN ENGINE   ,5650,5710,-3.58,6:25:37,Ok,RealTime,43966,1,
083350.KS,DONGBUKA 10 SHIP,5100,,0.99,3:58:50,Ok,RealTime,3102,1,
083360.KS,DONGBUKA 11 SHIP,5080,,0,1:34:8,Ok,RealTime,3022,1,
083370.KS,DONGBUKA 12 SHIP,5060,,,,Ok,RealTime,3134,1,
083380.KS,DONGBUKA 13 SHIP,5140,5000,-2.44,4:1:25,Ok,RealTime,2942,1,
083390.KS,DONGBUKA 14 SHIP,5180,,2.78,0:0:30,Ok,RealTime,3182,1,
083420.KS,KPX GREEN CHEM  ,5060,4970,1.5,6:0:30,Ok,RealTime,56334,1,
083570.KS,ASIA PACIFIC 10 ,5020,,,,Ok,RealTime,3166,1,
083580.KS,ASIA PACIFIC 11 ,,,,,Ok,RealTime,3150,1,
083590.KS,ASIA PACIFIC 12 ,,,,,Ok,RealTime,3038,1,
083600.KS,ASIA PACIFIC 13 ,,,,,Ok,RealTime,3086,1,
083610.KS,ASIA PACIFIC 14 ,5160,,1.18,0:0:30,Ok,RealTime,3374,1,
083620.KS,ASIA PACIFIC 15 ,5110,,0.2,6:0:30,Ok,RealTime,3326,1,
084010.KS,DAEHAN STEEL    ,11800,9900,6.31,6:21:15,Ok,RealTime,46366,1,
084670.KS,DONGYANG EXPRESS,36450,34550,2.68,6:19:26,Ok,RealTime,55214,1,
084680.KS,E-WORLD         ,2010,2010,3.34,6:27:48,Ok,RealTime,55118,1,
084690.KS,DAESANG HOLDINGS,24150,23850,0.84,6:0:30,Ok,RealTime,38446,1,
084870.KS,THE BASIC HOUSE ,15600,15100,0,6:27:25,Ok,RealTime,42046,1,
085310.KS,NK              ,6910,6660,2.98,6:27:46,Ok,RealTime,16190,1,
086280.KS,HYUNDAI GLOVIS  ,192500,188500,0.52,6:26:17,Ok,RealTime,9278,1,
086790.KS,HANA FINANCIAL G,28500,28850,-7.62,6:29:22,Ok,RealTime,17918,1,
088350.KS,HANWHA LIFE     ,8300,8170,0.48,6:10:0,Ok,RealTime,17806,1,
088790.KS,JINDO           ,5130,4930,2.81,6:0:30,Ok,RealTime,53454,1,
088980.KS,MACQ KOR INFR FD,7960,7900,-0.25,6:0:30,Ok,RealTime,34766,1,
089470.KS,HYUNDAI E P     ,7800,7540,2.23,6:21:42,Ok,RealTime,6494,1,
090080.KS,PYUNG HWA IND   ,1645,1725,-4.64,6:0:30,Ok,RealTime,60014,1,
090350.KS,NOROO PAINT     ,17850,14000,10.87,6:26:11,Ok,RealTime,56718,1,
090370.KS,AVISTA          ,5270,5080,-1.68,6:15:28,Ok,RealTime,36670,1,
090430.KS,AMOREPACIFIC    ,402000,382000,0.5,6:25:56,Ok,RealTime,45054,1,
090970.KS,KOREA PACIFIC01 ,5070,,-0.2,1:12:59,Ok,RealTime,4126,1,
090980.KS,KOREA PACIFIC02 ,5120,,0,2:57:29,Ok,RealTime,3182,1,
090990.KS,KOREA PACIFIC03 ,5130,5130,0,4:13:0,Ok,RealTime,6862,1,
091000.KS,KOREA PACIFIC04 ,5100,,0,2:28:1,Ok,RealTime,4798,1,
091090.KS,SEWON CELLONTECH,5660,5220,4.24,6:22:48,Ok,RealTime,13694,1,
092200.KS,DIC             ,5120,5000,-0.58,6:0:30,Ok,RealTime,31870,1,
092220.KS,KEC             ,1400,1405,-1.41,6:20:53,Ok,RealTime,52622,1,
092230.KS,KPX HOLDINGS    ,76500,75000,-0.13,6:0:30,Ok,RealTime,46542,1,
092440.KS,KISHIN COPR     ,8250,8250,0,6:23:31,Ok,RealTime,49246,1,
092630.KS,BADARO 3 SHIP   ,3315,,5.91,6:10:0,Ok,RealTime,13278,1,
093050.KS,LF              ,34250,33850,3.32,6:10:0,Ok,RealTime,52014,1,
093230.KS,EID             ,741,708,1.65,6:23:3,Ok,RealTime,16190,1,
093240.KS,ELITEBASIC      ,4135,4230,-1.43,6:14:33,Ok,RealTime,39726,1,
093370.KS,FOOSUNG         ,4235,4015,6.14,6:26:47,Ok,RealTime,20878,1,
094280.KS,HYOSUNG ITX     ,14600,13750,0,6:15:13,Ok,RealTime,31102,1,
095720.KS,WNGJIN THINKBIG ,9300,9390,-2.41,6:27:29,Ok,RealTime,39598,1,
096760.KS,JW HOLDINGS     ,9190,9180,-3.16,6:29:4,Ok,RealTime,53934,1,
096770.KS,SK INNOVATION   ,109000,109000,1.87,6:20:18,Ok,RealTime,52606,1,
097230.KS,HANJIN HEAVY IND,5440,5570,-5.39,6:29:6,Ok,RealTime,38254,1,
097950.KS,CJ CHEILJEDANG  ,441000,410500,1.61,6:15:44,Ok,RealTime,54350,1,
100220.KS,VISANG EDUCATION,9280,9390,0.11,6:10:0,Ok,RealTime,51694,1,
100250.KS,CHINYANG HOLD   ,4165,4015,0.24,6:25:17,Ok,RealTime,53774,1,
100840.KS,S&T             ,21700,21400,-2.25,6:16:46,Ok,RealTime,45038,1,
101060.KS,SBS MEDIA HOLD  ,3900,3780,0.78,6:29:22,Ok,RealTime,53246,1,
101140.KS,ARTIS           ,1685,1735,0,6:28:31,Ok,RealTime,50670,1,
102260.KS,DONGSUNG HOLD   ,7860,7710,-1.63,6:0:30,Ok,RealTime,12030,1,
102280.KS,SBW             ,1675,1505,-2.05,6:29:51,Ok,RealTime,21774,1,
102460.KS,REYON PHARM     ,40650,40000,0.87,6:17:22,Ok,RealTime,23614,1,
103130.KS,WOONGJIN ENERGY ,2190,1835,13.77,6:12:10,Ok,RealTime,1470,1,
103140.KS,POONGSAN        ,27200,26350,1.3,6:14:15,Ok,RealTime,56718,1,
103590.KS,ILJIN ELECTRIC  ,5820,5730,-1.02,6:25:1,Ok,RealTime,5822,1,
104110.KS,SHINSUNG ENG    ,1640,1645,-1.8,6:10:0,Ok,RealTime,56574,1,
104120.KS,SHINSUNG FA     ,1980,1945,-2.7,6:29:7,Ok,RealTime,28190,1,
104700.KS,KISCO           ,59900,55700,3.1,6:13:3,Ok,RealTime,62414,1,
105560.KS,KB FGI          ,35150,35600,-3.83,6:29:32,Ok,RealTime,59550,1,
105630.KS,HANSAE          ,42600,41500,2.9,6:27:36,Ok,RealTime,33486,1,
105840.KS,WOOJIN          ,7780,7440,2.91,6:22:24,Ok,RealTime,19870,1,
107590.KS,MSC             ,292500,299500,-1.68,6:0:30,Ok,RealTime,23806,1,
108670.KS,LG HAUSYS       ,171000,142000,0.59,6:13:12,Ok,RealTime,38334,1,
109070.KS,KGP             ,1975,1935,0.77,6:15:7,Ok,RealTime,9774,1,
110570.KS,NEXOLON         ,1380,1510,-1.78,6:29:22,Ok,RealTime,15934,1,
111770.KS,YOUNGONE        ,51300,47900,2.7,6:18:55,Ok,RealTime,32030,1,
112610.KS,CS WIND         ,32750,30700,-0.15,6:23:33,Ok,RealTime,32462,1,
114090.KS,GKL             ,31700,29750,0.96,6:28:48,Ok,RealTime,39790,1,
115390.KS,LOCK&LOCK       ,16000,15650,0,6:26:26,Ok,RealTime,58190,1,
117580.KS,DAESUNG ENERGY  ,6570,6420,1.55,6:25:41,Ok,RealTime,5134,1,
117930.KS,HANJIN SHIPPING ,5300,5350,-2.93,6:24:37,Ok,RealTime,58094,1,
118000.KS,WOORIDULHUEBRAIN,3600,3670,-3.1,6:14:52,Ok,RealTime,1918,1,
119650.KS,KC COTTRELL     ,8220,7630,1.48,6:11:28,Ok,RealTime,28862,1,
120030.KS,CHOSUN WELDING  ,80200,77100,-0.37,6:10:0,Ok,RealTime,48062,1,
120110.KS,KOLON INDUSTRY  ,60800,60300,-0.33,6:25:34,Ok,RealTime,17166,1,
121550.KS,KOCREF15CR-REIT ,3900,,0,5:5:38,Ok,RealTime,3646,1,
122900.KS,IMARKETKOREA    ,28750,29900,-0.69,6:0:30,Ok,RealTime,174,1,
123690.KS,HANKOOK COSMETIC,14200,13250,-1.39,6:29:2,Ok,RealTime,25278,1,
123700.KS,SJM             ,6520,6650,0,6:0:21,Ok,RealTime,9742,1,
126560.KS,HYUNDAI HCN     ,4270,4100,-0.47,6:0:30,Ok,RealTime,61902,1,
128820.KS,DAESUNG IND     ,5060,4840,1.2,6:29:3,Ok,RealTime,43006,1,
128940.KS,HANMI PHARM     ,564000,560000,-0.53,6:29:40,Ok,RealTime,49598,1,
129260.KS,INTERGIS        ,4405,4300,-0.56,6:0:30,Ok,RealTime,63998,1,
130660.KS,KEPID           ,4620,4440,-0.22,6:24:56,Ok,RealTime,23822,1,
133820.KS,FINEBESTEEL     ,3200,3170,-2.74,6:0:16,Ok,RealTime,38846,1,
134380.KS,MIWON CHEMICALS ,45350,46400,-0.55,6:10:0,Ok,RealTime,37118,1,
134790.KS,TEEMS           ,18100,17800,-0.28,6:22:18,Ok,RealTime,31502,1,
136490.KS,SUNJIN          ,31800,30300,2.58,6:22:1,Ok,RealTime,61422,1,
138040.KS,MERITZ FINANCIAL,16650,16100,1.83,6:17:20,Ok,RealTime,5358,1,
138250.KS,NS SHOPPING     ,205000,200500,1.99,6:0:30,Ok,RealTime,48222,1,
138440.KS,E-COREA REIT    ,,,,,Ok,RealTime,2302,1,
138490.KS,KOLON PLASTICS  ,7800,7140,0.65,6:23:46,Ok,RealTime,542,1,
138930.KS,BNK FINANCIAL GR,13500,13800,-5.92,6:12:57,Ok,RealTime,59278,1,
139130.KS,DGB FINANCIAL   ,11300,11300,0,6:22:30,Ok,RealTime,33198,1,
139200.KS,HI GOLD OCEAN 2 ,2460,2420,1.03,0:8:12,Ok,RealTime,6078,1,
139480.KS,E-MART          ,242500,233000,1.46,6:29:55,Ok,RealTime,46590,1,
140890.KS,TRUS Y 7-REIT   ,4600,4595,0.55,4:36:2,Ok,RealTime,5518,1,
140910.KS,KWANG HEE-REIT  ,5940,5390,-6.01,6:27:36,Ok,RealTime,21230,1,
144620.KS,KOLONMATERIAL   ,10800,10700,0.93,6:0:30,Ok,RealTime,64206,1,
145210.KS,SAEHWA IMC      ,11850,11700,-0.84,6:0:30,Ok,RealTime,50654,1,
145270.KS,KTOP REIT       ,5830,5560,-0.34,6:0:30,Ok,RealTime,47630,1,
145990.KS,SAMYANG COR     ,97700,96700,2.41,6:29:25,Ok,RealTime,53470,1,
153360.KS,HI GOLD OCEAN 3 ,2475,2450,0,5:35:27,Ok,RealTime,7182,1,
155660.KS,DSR             ,3675,3480,3.67,6:27:8,Ok,RealTime,44974,1,
155900.KS,BADARO NO19     ,3550,,0.28,2:26:46,Ok,RealTime,8366,1,
159650.KS,HI GOLD NO.8    ,3305,3390,-1.64,5:49:36,Ok,RealTime,7118,1,
161000.KS,AK PETROCHEMICAL,69300,67400,0.14,6:0:30,Ok,RealTime,64878,1,
161390.KS,HANKOOK TIRE    ,40950,40550,0.12,6:24:40,Ok,RealTime,13694,1,
161890.KS,KOREA KOLMAR    ,102000,92600,0.49,6:23:53,Ok,RealTime,13166,1,
163560.KS,DRB INDUSTRIAL  ,14700,14000,-0.34,6:26:0,Ok,RealTime,55902,1,
170900.KS,DONG-A ST       ,161000,141500,0.31,6:24:5,Ok,RealTime,5038,1,
172580.KS,HI GOLD OCEAN 12,3200,,-0.47,5:49:37,Ok,RealTime,8286,1,
175330.KS,JB FINANCIAL    ,6740,6200,-1.17,6:0:30,Ok,RealTime,65390,1,
180640.KS,HANJINKAL       ,29600,29750,0.17,6:23:12,Ok,RealTime,61310,1,
181710.KS,NHN ENTERTAIN   ,62300,61400,0.97,6:28:52,Ok,RealTime,878,1,
183190.KS,ASIACEMENT      ,142000,127500,2.53,6:10:0,Ok,RealTime,7054,1,
185750.KS,CHONGKUNDANG    ,99300,90600,2.9,6:28:37,Ok,RealTime,48782,1,
192400.KS,CUCKOO ELECTR   ,283000,262500,5.79,6:27:58,Ok,RealTime,53550,1,
192530.KS,KWANGJU BANK    ,7670,7490,-0.39,6:22:15,Ok,RealTime,26350,1,
192820.KS,COSMAX          ,209000,184000,0.97,6:29:45,Ok,RealTime,60238,1,
200880.KS,HANILEWHA       ,12300,11900,0.82,6:19:53,Ok,RealTime,15710,1,
204320.KS,MANDO           ,111000,107500,1.83,6:10:0,Ok,RealTime,32350,1,
210540.KS,DY POWER        ,10200,10900,-4.23,6:29:33,Ok,RealTime,19982,1,
213500.KS,HANSOL PAPER    ,21100,19950,2.18,6:16:37,Ok,RealTime,19422,1,
