GENEOS Status Report,
Monday 20 Jul 2015 17:35:44,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,KRW,2059.23,KOSPI           ,2072.91,13.68,2068.38,9:3:30,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
005450.KS,SHIN HAN CONST  ,3955,3830,4.63,6:19:7,Ok,RealTime,6926,1,
005490.KS,POSCO           ,209000,208000,-3.91,6:29:50,Ok,RealTime,8896,1,
005500.KS,SAMJIN PHARM    ,30400,30450,-1.3,6:29:59,Ok,RealTime,19454,1,
005610.KS,SAMLIP FOODS    ,282500,286500,-0.18,6:27:20,Ok,RealTime,65502,1,
005620.KS,DAESUNG GROUP   ,49350,47100,2.81,6:23:3,Ok,RealTime,38462,1,
005680.KS,SAMYOUNG ELEC   ,14650,14650,0.34,6:0:30,Ok,RealTime,60574,1,
005690.KS,PHARMICELL      ,4870,4625,-0.31,6:29:40,Ok,RealTime,53790,1,
005720.KS,NEXEN           ,88800,86000,1.14,6:0:30,Ok,RealTime,63902,1,
005740.KS,CROWN CONFEC    ,801000,699000,0.63,6:18:53,Ok,RealTime,46862,1,
005750.KS,DAELIM B&CO     ,23700,18150,0,6:15:54,Ok,RealTime,58190,1,
005800.KS,SHINYOUNG WACOAL,180000,183000,-0.55,6:10:0,Ok,RealTime,27470,1,
005810.KS,POONGSAN HOLDING,43000,42850,-2.27,6:18:17,Ok,RealTime,48222,1,
005820.KS,WONLIM          ,27500,26900,-0.18,6:0:30,Ok,RealTime,31950,1,
005830.KS,DONGBU INS      ,54200,56400,-2.34,6:10:0,Ok,RealTime,21742,1,
005850.KS,SL              ,15650,14700,3.99,6:10:0,Ok,RealTime,23678,1,
005870.KS,HUNEED TECH     ,9110,9870,0.33,6:0:15,Ok,RealTime,13390,1,
005880.KS,KOREA LINE      ,22500,21250,1.58,6:20:18,Ok,RealTime,4302,1,
005930.KS,SAMSUNG ELECTR  ,1235000,1259000,0.82,6:27:46,Ok,RealTime,58528,2,
