GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
3593.TW,LOGAH           ,11.15,10.1,-1.76,,Ok,RealTime,14208,1,
3596.TW,ARCADYAN TECH   ,30.4,29.4,0.33,,Ok,RealTime,46672,1,
3598.TW,ILITEK          ,51,51,-2.49,,Ok,RealTime,44080,1,
3605.TW,ACES ELEC       ,22.6,22.4,-1.74,,Ok,RealTime,17056,1,
3607.TW,COXON           ,66,64.5,-1.05,,Ok,RealTime,45152,1,
3617.TW,CYBERPOWER      ,66.3,65.8,2.16,,Ok,RealTime,21408,1,
3622.TW,YOUNG FAST      ,13.6,13.05,-1.47,,Ok,RealTime,28176,1,
3645.TW,TAIMIDE         ,42.6,41.35,0.83,,Ok,RealTime,18512,1,
3653.TW,JENTECH         ,51.7,49.5,2.38,,Ok,RealTime,28064,1,
3661.TW,ALCHIP          ,48.9,49,0.82,,Ok,RealTime,21776,1,
3665.TW,BIZLINK         ,177,171,1.14,,Ok,RealTime,25264,1,
3669.TW,AVER            ,16.3,16.2,-0.61,,Ok,RealTime,9184,1,
3673.TW,TPK HOLDING     ,164,156,-0.61,,Ok,RealTime,16720,1,
3679.TW,NISHOKU         ,43.1,42.5,-2.05,,Ok,RealTime,6864,1,
3682.TW,APT             ,11.75,11.55,-0.43,,Ok,RealTime,22304,1,
3686.TW,DANEN           ,9.02,8.84,0.89,,Ok,RealTime,6448,1,
3694.TW,AZUREWAVE       ,19.9,20.4,4.74,,Ok,RealTime,53552,1,
3698.TW,LEXTAR          ,18.8,18.55,-3.59,,Ok,RealTime,26992,1,
3702.TW,WPG             ,37.6,36.5,-0.53,,Ok,RealTime,44032,1,
3703.TW,CHC             ,9.71,9.75,-0.1,,Ok,RealTime,26832,1,
3704.TW,UNIZYX HOLDING  ,13.1,13.05,0.38,,Ok,RealTime,34976,1,
3705.TW,YUNGSHIN GLOBAL ,50.6,51.7,-0.98,,Ok,RealTime,23600,1,
3706.TW,MHC             ,29.4,31.05,-1.01,,Ok,RealTime,62208,1,
4104.TW,EXCELSIOR       ,49.45,47.35,0.61,,Ok,RealTime,33328,2,
4106.TW,APEX MEDICAL    ,46.6,44.05,1.08,,Ok,RealTime,15344,1,
4108.TW,PHYTOHEALTH     ,20.9,20.1,1.7,,Ok,RealTime,39520,1,
4119.TW,SCI PHARMTECH   ,87.7,78.6,0.8,,Ok,RealTime,54656,1,
4133.TW,ABNOVA          ,30.8,29.45,-0.96,,Ok,RealTime,10560,1,
4137.TW,CHLITINA        ,223.5,210,-0.22,,Ok,RealTime,11696,1,
4141.TW,ROTAM           ,43.75,44.7,0.34,,Ok,RealTime,13696,1,
4142.TW,ADIM            ,19.75,19,0.25,,Ok,RealTime,28160,1,
4144.TW,COLAND          ,61.7,61.1,-0.16,,Ok,RealTime,15968,1,
4164.TW,CHC             ,52.1,50.1,-0.38,,Ok,RealTime,28640,1,
4306.TW,YEM CHIO        ,12.3,12.25,-0.4,,Ok,RealTime,17568,1,
4414.TW,ROO HSING       ,15.2,14.7,-0.33,,Ok,RealTime,15520,1,
4426.TW,LI CHENG        ,146.5,144,-0.34,,Ok,RealTime,18112,1,
4526.TW,TONG-TAI MACH   ,24.1,24.2,0.41,,Ok,RealTime,17136,1,
4532.TW,RECHI           ,27.5,28.8,-2.31,,Ok,RealTime,58176,1,
4536.TW,TOPKEY          ,117.5,119.5,-0.84,,Ok,RealTime,8944,1,
4722.TW,QUALIPOLY       ,26.8,26.15,1.13,,Ok,RealTime,21472,1,
4725.TW,TPCC            ,18.1,18.1,-1.63,,Ok,RealTime,17568,1,
4733.TW,SWANCOR         ,258.5,270,-0.58,,Ok,RealTime,25216,1,
4737.TW,BIONIME         ,62.7,60.8,0.48,,Ok,RealTime,9360,1,
4746.TW,FORMOSA LAB     ,54.8,53.1,0.92,,Ok,RealTime,15760,1,
4755.TW,SAN FU          ,23.2,23.8,0.87,,Ok,RealTime,5088,1,
4904.TW,FAR EASTONE     ,69.5,75.4,-0.71,,Ok,RealTime,62080,1,
4906.TW,GEMTEK TECH     ,17.85,17.6,-1.92,1:0:41,Ok,RealTime,59296,1,
4915.TW,PRIMAX          ,39.8,41.55,-1,,Ok,RealTime,39008,1,
4916.TW,PARPRO          ,20,19.25,1.78,,Ok,RealTime,11760,1,
4919.TW,NUVOTON         ,26.5,25.65,-0.56,,Ok,RealTime,22432,1,
4930.TW,STAR COMGISTIC  ,21,21.3,-1.87,,Ok,RealTime,24480,1,
4934.TW,TAINERGY TECH   ,17.3,16.5,4.53,,Ok,RealTime,33024,1,
4935.TW,GLOBAL LIGHTING ,38.1,38.7,-1.42,,Ok,RealTime,25408,1,
4938.TW,PEGATRON        ,92.9,87.6,0.98,,Ok,RealTime,11328,1,
4942.TW,CHIA CHANG      ,21.8,21.95,-0.23,,Ok,RealTime,12144,1,
4952.TW,GENERALPLUS     ,34.9,33.9,-1.69,,Ok,RealTime,31632,1,
4956.TW,EPILEDS TECH    ,13.75,13.9,-1.08,,Ok,RealTime,9824,1,
4958.TW,ZHEN DING       ,106,102.5,-0.93,,Ok,RealTime,47296,1,
4960.TW,CMMT            ,23.6,23.85,-1.46,,Ok,RealTime,62880,1,
4976.TW,CALIN           ,18.5,18.35,1.09,,Ok,RealTime,7056,1,
4977.TW,F-PCL           ,57.3,58,9.98,,Ok,RealTime,36320,1,
4984.TW,COADNA          ,37.3,37.55,-0.27,,Ok,RealTime,58064,1,
4994.TW,X-LEGEND        ,140.5,139,-0.35,,Ok,RealTime,15328,1,
4999.TW,SINHER          ,50,49.4,-1.19,,Ok,RealTime,26096,1,
5007.TW,SAN SHING       ,74.5,72.3,2.19,,Ok,RealTime,22672,1,
5203.TW,CYBERLINK       ,79.1,79.7,-0.38,,Ok,RealTime,16528,1,
5215.TW,KO JA           ,41.1,41.25,-0.48,,Ok,RealTime,10032,1,
5225.TW,KYET            ,50.3,51.3,-1.37,,Ok,RealTime,18288,1,
5234.TW,DAXIN           ,37.3,35.8,-1.84,1:26:36,Ok,RealTime,13504,1,
5243.TW,ESON            ,33.3,32.35,0.3,,Ok,RealTime,19120,1,
5259.TW,CANDMARK        ,15.2,16.45,-6.46,,Ok,RealTime,58704,1,
5264.TW,CASETEK         ,191,183,2.14,,Ok,RealTime,21824,1,
5269.TW,ASMEDIA         ,198.5,200.5,-0.25,,Ok,RealTime,4640,1,
5285.TW,JIH LIN         ,39.35,39.9,-0.63,,Ok,RealTime,5088,1,
5288.TW,EUROCHARM       ,67.1,64.2,0.45,,Ok,RealTime,16016,1,
5305.TW,LITE-ON SEMI    ,21.95,22.35,-0.68,,Ok,RealTime,32384,1,
5388.TW,SERCOMM         ,66.2,67.7,1.69,,Ok,RealTime,50208,1,
5434.TW,TOPCO SCIENT    ,56.5,56.6,0.36,,Ok,RealTime,22336,1,
5469.TW,HANNSTAR BOARD  ,9.83,10.15,1.34,,Ok,RealTime,45680,1,
5471.TW,SONIX TECH      ,41.4,40.9,-1.43,,Ok,RealTime,21488,1,
5484.TW,EVERFOCUS ELEC  ,5.73,5.23,2.32,,Ok,RealTime,12624,1,
5515.TW,CHIEN KUO CONST ,10.7,10.6,-0.47,,Ok,RealTime,9728,1,
5519.TW,LONG DA         ,16.05,15.75,0.63,,Ok,RealTime,12352,1,
5521.TW,KSECO           ,10.65,10.5,-0.47,,Ok,RealTime,9920,1,
5522.TW,FARGLORY        ,34.6,33.9,0.87,,Ok,RealTime,33232,1,
5525.TW,SWEETEN CONST   ,18,17.85,-0.28,,Ok,RealTime,9888,1,
5531.TW,SHINING BLDG    ,13.85,13.85,0.36,,Ok,RealTime,23792,1,
5533.TW,FOUNDING CONST  ,19.75,19.8,-0.25,,Ok,RealTime,9376,1,
5534.TW,CHONG HONG CONST,61.6,61.2,-1.44,,Ok,RealTime,55808,1,
5538.TW,TONG MING       ,29,29.3,-1.38,,Ok,RealTime,8192,1,
5607.TW,FARGLORY FTZ HDG,15.5,15.45,0.32,,Ok,RealTime,6976,1,
5608.TW,SHIH WEI        ,15.8,15.4,1.28,,Ok,RealTime,16080,1,
5706.TW,PHOENIX TOURS   ,45.9,47,-0.97,,Ok,RealTime,15600,1,
5871.TW,CHAILEASE       ,71,70.6,-1.39,,Ok,RealTime,54240,1,
5880.TW,TCFHC           ,16.1,15.9,0.63,,Ok,RealTime,45600,1,
5906.TW,TAINAN CAYMAN   ,4.28,4.42,-2.73,,Ok,RealTime,6496,1,
5907.TW,Grand Ocean     ,48,47.8,-2.34,,Ok,RealTime,28912,1,
6005.TW,CAPITAL SEC     ,9.92,9.76,0.1,,Ok,RealTime,43904,1,
6108.TW,APCB INC        ,14.8,14.6,-0.34,,Ok,RealTime,10720,1,
6112.TW,SYSAGE TECH     ,28.1,29.05,-2.14,,Ok,RealTime,15232,1,
6115.TW,I-SHENG ELECTRIC,38,41,1.06,,Ok,RealTime,17376,1,
6116.TW,HANNSTAR DISPLAY,4.66,4.64,-1.89,,Ok,RealTime,31552,1,
6117.TW,IN-WIN DEV      ,13.9,13.75,0.72,,Ok,RealTime,6144,1,
6120.TW,DARWIN          ,13.1,13.3,-2.6,,Ok,RealTime,64336,1,
6128.TW,GENERAL PLASTIC ,32.05,32.15,-0.77,,Ok,RealTime,5424,1,
6131.TW,YOKO TECH       ,26.85,27.35,-0.56,,Ok,RealTime,30624,1,
6133.TW,GOLDEN BRIDGE   ,10.1,9.89,1,,Ok,RealTime,6608,1,
6136.TW,FULLERTON TECH  ,24.55,24.2,0.2,,Ok,RealTime,15088,1,
6139.TW,L&K ENG         ,20,19.85,0.25,,Ok,RealTime,7056,1,
6141.TW,PLOTECH         ,9.48,9.94,-1.76,,Ok,RealTime,8960,1,
6142.TW,CAMEO           ,4.66,4.71,-1.69,1:2:29,Ok,RealTime,16704,1,
6145.TW,PQI             ,14.4,14.6,-0.35,,Ok,RealTime,32496,1,
6152.TW,PRIME ELTRS     ,9.32,10,-2.82,,Ok,RealTime,23968,1,
6153.TW,CAREER          ,26,24.8,-1.14,,Ok,RealTime,19648,1,
6155.TW,KING CORE       ,19.7,20.7,-0.25,,Ok,RealTime,10176,1,
6164.TW,LEDTECH         ,10.6,10.65,-2.75,,Ok,RealTime,16528,1,
6165.TW,JYE TAI         ,7.3,7.3,1.11,,Ok,RealTime,2768,1,
6166.TW,ADLINK TECH     ,99.2,98.7,0.2,,Ok,RealTime,18240,1,
6168.TW,HARVATEK        ,12.7,12.75,-1.93,,Ok,RealTime,21776,1,
6176.TW,RADIANT         ,104.5,104.5,0.48,,Ok,RealTime,7632,1,
6177.TW,DA-LI CONST     ,32.9,34.5,-0.6,1:0:56,Ok,RealTime,28736,1,
6183.TW,TRADE-VAN INFO  ,25.5,25.95,-0.39,,Ok,RealTime,6704,1,
6184.TW,DAFENG TV       ,57.8,52,2.3,,Ok,RealTime,37968,1,
6189.TW,PROMATE         ,30.05,32,-0.83,,Ok,RealTime,35824,1,
6191.TW,GLOBAL BRANDS   ,7.35,7.33,-1.87,,Ok,RealTime,18256,1,
6192.TW,LUMAX           ,47,50.5,0.64,,Ok,RealTime,29312,1,
6196.TW,MARKETECH       ,24.35,23.9,0.41,,Ok,RealTime,33472,1,
6197.TW,JESS-LINK       ,38.5,38,0.52,,Ok,RealTime,5088,1,
6201.TW,YA HORNG        ,26.2,26,0.58,,Ok,RealTime,4784,1,
6202.TW,HOLTEK          ,49,48.4,0.1,,Ok,RealTime,35280,1,
6205.TW,CHANT SINCERE   ,27.5,27.9,-1.26,,Ok,RealTime,15472,1,
6206.TW,FLYTECH         ,121,120,-0.82,,Ok,RealTime,31168,1,
6209.TW,KINKO OPTICAL   ,16,15.85,-0.31,,Ok,RealTime,28384,1,
6213.TW,ITEQ            ,20.05,20.1,-0.99,,Ok,RealTime,19456,1,
6214.TW,SYSTEX          ,59,61.7,-1.99,,Ok,RealTime,54688,1,
6215.TW,AUROTEK         ,17.05,17.7,-0.29,,Ok,RealTime,21248,1,
6216.TW,DRAYTEK         ,28.6,28.7,1.24,,Ok,RealTime,23312,1,
6224.TW,PTTC            ,67.2,66.8,-0.3,,Ok,RealTime,18048,1,
6226.TW,PARA            ,7.75,7.68,0.13,,Ok,RealTime,11520,1,
6230.TW,CCI             ,75.1,68.6,-1.96,,Ok,RealTime,52688,1,
6235.TW,WAFFER TECH     ,9.91,9.93,0.3,,Ok,RealTime,16368,1,
6239.TW,POWERTECH TECH  ,59.6,62.5,-3.87,,Ok,RealTime,60800,1,
6243.TW,ENE             ,18.8,19.15,-1.31,,Ok,RealTime,45728,1,
6251.TW,DYNAMIC         ,9.6,9.59,-0.72,,Ok,RealTime,19600,1,
6257.TW,SIGURD          ,27.15,27.9,-2.69,,Ok,RealTime,58720,1,
6269.TW,FLEXIUM         ,126.5,126.5,-0.78,,Ok,RealTime,3648,1,
6271.TW,THEIL           ,83.1,86,-0.12,,Ok,RealTime,2096,1,
6277.TW,ATEN            ,91.2,90.3,0.11,,Ok,RealTime,38192,1,
6278.TW,TAIWAN SURFACE  ,33.8,34.5,-1.46,,Ok,RealTime,39536,1,
6281.TW,E-LIFE MALL     ,59.2,59.4,-0.17,,Ok,RealTime,13376,1,
6282.TW,ACBEL           ,22.4,22.8,-2.18,,Ok,RealTime,21664,1,
6283.TW,SHUN ON         ,5.53,5.5,-0.36,,Ok,RealTime,6960,1,
6285.TW,WISTRON NEWEB   ,83.7,84.1,0.36,,Ok,RealTime,37632,1,
6286.TW,RICHTEK         ,164,172,-2.09,,Ok,RealTime,65008,1,
6405.TW,ONANO           ,26.5,27.85,-2.57,,Ok,RealTime,12816,1,
6409.TW,VOLTRONIC       ,375.5,356,0.67,,Ok,RealTime,31552,1,
6412.TW,CHICONY         ,44.25,44,-0.56,,Ok,RealTime,31904,1,
6414.TW,ENNOCONN        ,362,339.5,-1.09,,Ok,RealTime,19456,1,
6415.TW,SILERGY         ,325.5,320,0.77,,Ok,RealTime,37344,1,
6422.TW,BRIGHTKING      ,51.5,49.1,-0.58,,Ok,RealTime,8736,1,
6431.TW,KSKL            ,17.15,17.4,-0.29,,Ok,RealTime,7840,1,
6449.TW,APAQ            ,31.85,31.15,2.41,,Ok,RealTime,12496,1,
6451.TW,SHUNSIN         ,160,167,-1.23,,Ok,RealTime,41152,1,
6504.TW,NAN LIU         ,172,166.5,-0.58,,Ok,RealTime,37424,1,
6505.TW,FORMOSA PETRO   ,77.3,75.5,-1.42,,Ok,RealTime,46464,1,
6605.TW,DEPO AUTO       ,102.5,98.1,1.99,,Ok,RealTime,33840,1,
6702.TW,TRANSASIA       ,8.96,8.81,-0.22,,Ok,RealTime,29152,1,
8011.TW,TAI TUNG        ,30.25,28.1,1.51,,Ok,RealTime,33840,1,
8016.TW,SITRONIX        ,95,97.7,-0.21,,Ok,RealTime,7472,1,
8021.TW,TOPOINT TECH    ,24.15,23.25,1.68,,Ok,RealTime,39168,1,
8033.TW,THUNDER TIGER   ,8.96,8.98,-0.44,,Ok,RealTime,13920,1,
8039.TW,TAIFLEX         ,48.1,45.2,2.67,,Ok,RealTime,36560,1,
8046.TW,NAN YA PCB CORP ,34.7,34.45,-0.29,,Ok,RealTime,17344,1,
8070.TW,CHANG WAH ELEC  ,88.4,87.9,-1.23,,Ok,RealTime,23264,1,
8072.TW,AV TECH         ,28.65,29,-0.69,,Ok,RealTime,11392,1,
8081.TW,GMT             ,67.5,67.6,-0.59,,Ok,RealTime,26656,1,
8101.TW,ARIMA COMMUNICAT,9.19,9.7,-0.97,,Ok,RealTime,42880,1,
8103.TW,CVILUX          ,37.85,37.6,-1.43,,Ok,RealTime,24624,1,
8105.TW,GIANTPLUS       ,7.75,7.55,-1.27,1:0:33,Ok,RealTime,26816,1,
8110.TW,WALTON          ,7.76,7.6,-0.64,,Ok,RealTime,24736,1,
8112.TW,SUPREME ELEC    ,15.5,15.3,-0.32,,Ok,RealTime,51488,1,
8114.TW,POSIFLEX        ,153,155,-2.24,,Ok,RealTime,30320,1,
8131.TW,FORMOSA ADVANCED,20.8,20.75,-2.58,,Ok,RealTime,24368,1,
8150.TW,CHIPMOS         ,37.6,39.45,-2.72,,Ok,RealTime,62464,1,
8163.TW,DARFON          ,16.2,15.8,-2.7,,Ok,RealTime,47696,1,
8201.TW,INVENTEC BESTA  ,9.4,9.16,3.07,3:53:14,Ok,RealTime,8112,1,
8210.TW,CHENBRO MICOM   ,35.7,37.75,0.56,,Ok,RealTime,27280,1,
8213.TW,TAIWAN PCB TECH ,35.5,37.7,-2.47,,Ok,RealTime,12528,1,
8215.TW,BENQ MATERIALS  ,22.1,21.9,-1.78,,Ok,RealTime,42432,1,
8222.TW,AERO WIN        ,17.1,16.8,-0.29,,Ok,RealTime,10304,1,
8249.TW,CREATIVE SENSOR ,22.35,22.5,0.22,,Ok,RealTime,23696,1,
8261.TW,ADVANCED POWER  ,24.15,23.6,0.84,,Ok,RealTime,51552,1,
8271.TW,APACER          ,23.3,23.95,-2.31,,Ok,RealTime,28816,1,
8374.TW,ACE PILLAR      ,15.4,15.5,-0.32,,Ok,RealTime,11520,1,
8404.TW,PAIHO SHIH      ,27.15,26.8,2.26,,Ok,RealTime,13248,1,
8411.TW,KINGCAN         ,34,34.7,0.44,,Ok,RealTime,9952,1,
8422.TW,CLEANAWAY       ,171,166,-2.01,,Ok,RealTime,44032,1,
8427.TW,KEYSHEEN        ,42.5,41.95,0.47,,Ok,RealTime,9712,1,
8429.TW,JINLI           ,56.6,57.2,-1.57,,Ok,RealTime,27008,1,
8443.TW,ASO             ,27,26.75,1.12,,Ok,RealTime,9904,1,
8454.TW,MOMO            ,248.5,253,-0.4,,Ok,RealTime,32256,1,
8926.TW,TWN COGENERATION,26,26.1,-0.57,,Ok,RealTime,47744,1,
8940.TW,NEW PALACE      ,15.85,15.7,0.32,,Ok,RealTime,4800,1,
8996.TW,KAORI HEAT      ,49.4,49.15,0.2,,Ok,RealTime,19312,1,
9802.TW,FULGENT SUN     ,77.3,77.6,-0.9,,Ok,RealTime,20384,1,
9902.TW,TIDEHOLD DEVL   ,13.85,13.65,0.36,,Ok,RealTime,11520,1,
9904.TW,POU CHEN        ,40.25,39.55,1.9,,Ok,RealTime,1712,1,
9905.TW,G. CHINA METAL  ,30.25,30.35,-1.14,,Ok,RealTime,20576,1,
9906.TW,HSIN BA BA      ,25.45,25.2,1.19,,Ok,RealTime,11520,1,
9907.TW,TON YI IND      ,18.75,19.2,-1.57,,Ok,RealTime,8432,1,
9908.TW,GREAT TAIPEI GAS,23.2,23.25,-0.22,,Ok,RealTime,14688,1,
9910.TW,FENG TAY ENTPRSE,160.5,154.5,4.9,,Ok,RealTime,37248,1,
9911.TW,TAIWAN SAKURA   ,19.8,19.85,-0.25,,Ok,RealTime,14768,1,
9912.TW,ASSOC IND CHINA ,10.5,10.6,-1.41,,Ok,RealTime,8048,1,
9914.TW,MERIDA INDUSTRY ,215,204,0.47,,Ok,RealTime,12992,1,
9917.TW,TAIWAN SECOM    ,91.5,91.1,-0.44,,Ok,RealTime,54576,1,
9918.TW,SHIN SHIN NAT   ,31.8,,-1.4,,Ok,RealTime,6048,1,
9919.TW,KANG NA HSIUNG  ,12.25,12.3,-0.81,,Ok,RealTime,24800,1,
9921.TW,GIANT           ,269,259.5,1.51,,Ok,RealTime,55264,1,
9924.TW,FU HSING INDU   ,37.95,35.6,-0.91,,Ok,RealTime,54048,1,
9925.TW,TW SHIN KONG SEC,39.75,39.3,0.13,,Ok,RealTime,22192,1,
9926.TW,SHIN HAI GAS    ,43.45,,-0.23,,Ok,RealTime,6416,1,
9927.TW,THYE MING INDU  ,34.3,34.3,-0.58,,Ok,RealTime,16032,1,
9928.TW,CHINA TV        ,10.35,9.85,2.48,,Ok,RealTime,3984,1,
9930.TW,CHINA HI-MENT   ,67.8,68.2,-1.6,,Ok,RealTime,21472,1,
9931.TW,HSIN KAO GAS    ,33.35,31.05,7.58,3:56:15,Ok,RealTime,8688,1,
9933.TW,CTCI CORP       ,50.4,50.2,0.2,,Ok,RealTime,1232,1,
9934.TW,GLOBE UNION     ,12.95,12.95,-0.77,,Ok,RealTime,15952,1,
9935.TW,CHING FENG      ,10.85,10.45,4.83,,Ok,RealTime,48064,1,
9937.TW,NATIONAL PETR   ,36.95,36.35,-0.95,,Ok,RealTime,14816,1,
9938.TW,TAIWAN PAIHO    ,72.9,70.8,-0.95,,Ok,RealTime,51200,1,
9939.TW,TAIWAN HON CHUAN,54.6,54.1,-0.91,,Ok,RealTime,60000,1,
9940.TW,SINYI           ,27,26.4,1.12,,Ok,RealTime,24112,1,
9941.TW,ACCEPTANCE      ,77.3,76.9,-0.51,,Ok,RealTime,28560,1,
9942.TW,NAK SEALING TECH,92,91.1,2.22,,Ok,RealTime,26496,1,
9943.TW,HOLIDAY         ,61,54.2,5.35,,Ok,RealTime,15776,1,
9944.TW,SHINIH          ,39.5,41.8,-1.13,,Ok,RealTime,18752,1,
9945.TW,RUENTEX         ,41.7,44.95,-1.88,,Ok,RealTime,49520,2,
9946.TW,SANFAR          ,17.9,16,-0.83,,Ok,RealTime,31232,1,
9955.TW,SUPER DRAGON    ,16,16.1,-0.31,,Ok,RealTime,5984,1,
9958.TW,CENTURY IRON    ,9.35,9.3,0.54,,Ok,RealTime,8688,1,
