GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
1701.TW,CHINA CHEM&PHARM,20.05,19.6,-0.25,,Ok,RealTime,31440,1,
1702.TW,NAMCHOW CHEM IND,63.2,61.6,-0.47,,Ok,RealTime,43824,1,
1704.TW,LCYCIC          ,18.5,18.1,0.82,,Ok,RealTime,47920,1,
1707.TW,GRAPE KING      ,221,205.5,2.79,,Ok,RealTime,19808,1,
1708.TW,SESODA          ,38.7,38.4,0.39,,Ok,RealTime,33440,1,
1709.TW,FORMOSA UNION   ,12.95,13.15,-1.15,,Ok,RealTime,11792,1,
1710.TW,ORIENTAL UNION  ,20.5,21.7,-3.07,,Ok,RealTime,56816,1,
1711.TW,EVERLIGHT CHEM  ,22.9,22.85,-1.29,,Ok,RealTime,36912,1,
1712.TW,SINON           ,15.6,15.2,0.65,,Ok,RealTime,27808,1,
1713.TW,CATHAY CHEMICAL ,16.9,16.7,0.6,,Ok,RealTime,9632,1,
1714.TW,HO TUNG         ,7.72,7.68,-0.64,,Ok,RealTime,37856,1,
1715.TW,ACHEM           ,16.9,16.95,-0.59,,Ok,RealTime,23040,1,
1717.TW,ETERNAL         ,30.6,30.5,0.16,,Ok,RealTime,26544,1,
1718.TW,CHINA MANMADE   ,8.94,8.97,-0.89,,Ok,RealTime,53536,1,
1720.TW,SCPC            ,32.75,31.6,0.61,,Ok,RealTime,30912,1,
1721.TW,SUNKO INK       ,10.45,10.55,0.48,,Ok,RealTime,7648,1,
1722.TW,TWN FERTILIZER  ,50.3,49.55,0.6,,Ok,RealTime,15792,1,
1723.TW,CHINA STEEL CHEM,128.5,125,0.39,,Ok,RealTime,47344,1,
1724.TW,TNC INDU        ,14.7,14.75,-1.67,,Ok,RealTime,6640,1,
1725.TW,YUAN JEN        ,13,13.15,-1.89,,Ok,RealTime,6160,1,
1726.TW,YUNG CHI        ,83.5,83.4,0.48,,Ok,RealTime,12608,1,
1727.TW,CHUNG HWA CHEM  ,17.6,17.15,-0.28,,Ok,RealTime,6880,1,
1729.TW,PIHSIANG        ,61.2,60.6,-0.33,,Ok,RealTime,27248,1,
1730.TW,FARCENT         ,30.35,29.7,0.83,,Ok,RealTime,12192,1,
1731.TW,MAYWUFA         ,13.85,13.7,0.36,,Ok,RealTime,15056,1,
1732.TW,MAO BAO         ,13,12.85,0.78,,Ok,RealTime,16352,1,
1733.TW,APEX BIOTECH    ,44.95,44.9,-0.11,,Ok,RealTime,10432,1,
1734.TW,SINPHAR         ,30,29.5,0.17,,Ok,RealTime,30848,1,
1735.TW,EVERMORE CHEM   ,11.45,11.45,-0.44,,Ok,RealTime,5680,1,
1736.TW,JOHNSON         ,69.4,69.5,0.43,,Ok,RealTime,39696,1,
1737.TW,TAIYEN BIOTECH  ,23.5,23.1,-0.21,,Ok,RealTime,17024,1,
1762.TW,CHUNGHWA CHEM   ,35.3,33,0.57,,Ok,RealTime,55104,1,
1773.TW,SHINY CHEMICALS ,40.15,39.95,0.25,,Ok,RealTime,8896,1,
1783.TW,MBI             ,25,24.6,-0.4,,Ok,RealTime,20032,1,
1786.TW,SVBI            ,62.7,61.5,0.16,,Ok,RealTime,26688,1,
1789.TW,SCINOPHARM      ,34.8,33.4,1.16,,Ok,RealTime,1152,1,
1802.TW,TWN GLASS IND   ,14.2,14.1,0.71,,Ok,RealTime,42080,1,
1805.TW,KPT INDUSTRIES  ,7.7,7.7,1.32,4:50:47,Ok,RealTime,5536,1,
1806.TW,CHAMPION        ,8,7.75,1.78,,Ok,RealTime,26192,1,
1808.TW,RUN LONG        ,30.1,29.9,-0.83,,Ok,RealTime,15808,1,
1809.TW,CHINA GLAZE     ,11.1,11.1,-0.45,,Ok,RealTime,12432,1,
1810.TW,HOCHENG         ,8.72,8.7,0.34,,Ok,RealTime,16032,1,
1817.TW,SANITA          ,38.7,36.7,3.89,,Ok,RealTime,24416,1,
1902.TW,TWN PULP & PAPER,10.6,10.45,0.95,,Ok,RealTime,9760,1,
1903.TW,SHIHLIN PAPER   ,32.3,32.5,-1.82,,Ok,RealTime,7872,1,
1904.TW,CHENG LOONG     ,11.6,11.95,-0.85,,Ok,RealTime,25024,1,
1905.TW,CHUNG HWA PULP  ,9.17,9.09,-0.33,,Ok,RealTime,33168,1,
1906.TW,PAO LUNG        ,8,7.87,1.14,,Ok,RealTime,7680,1,
1907.TW,YUEN FOONG YU   ,11.05,10.95,-0.45,,Ok,RealTime,31664,1,
1909.TW,LONG CHEN PAPER ,12,11.9,0.84,,Ok,RealTime,34768,1,
2002.TW,CHINA STEEL     ,24.2,23.8,0.83,,Ok,RealTime,11120,1,
2006.TW,TUNG HO STEEL   ,22.5,22.4,0.45,,Ok,RealTime,23472,1,
2007.TW,YIEH HSING ENT  ,3.65,3.71,-0.82,,Ok,RealTime,9168,1,
2008.TW,KAO HSING CHANG ,8.81,9,-0.68,,Ok,RealTime,9376,1,
2009.TW,1ST COPPER TECH ,8.63,8.66,-0.12,,Ok,RealTime,6624,1,
2010.TW,CHUN YUAN STEEL ,10.1,10.25,0.5,,Ok,RealTime,15488,1,
2012.TW,CHUN YU WORKS   ,13.75,14.45,-3.85,,Ok,RealTime,7776,1,
2013.TW,CHINA STEEL STRC,21.7,22.4,-0.46,,Ok,RealTime,10992,1,
2014.TW,CHUNG HUNG STEEL,4.85,4.87,-1.82,,Ok,RealTime,23504,1,
2015.TW,FENG HSIN IRON  ,37.25,39.25,-0.27,,Ok,RealTime,29024,1,
2017.TW,QUINTAIN STEEL  ,4.98,4.88,-0.2,,Ok,RealTime,12000,1,
2020.TW,MAYER STEEL     ,14.3,13.3,4.38,,Ok,RealTime,15504,1,
2022.TW,TYCOONS         ,4.55,4.57,-1.09,,Ok,RealTime,10512,1,
2023.TW,YIEH PHUI       ,8.24,8.25,-0.6,,Ok,RealTime,26112,1,
2024.TW,CHIH LIEN IND   ,7.09,7.24,-0.84,,Ok,RealTime,11280,1,
2025.TW,CHIEN SHING SSC ,3.67,3.69,-1.34,,Ok,RealTime,13792,1,
2027.TW,TA CHEN         ,15.95,15.65,-0.31,,Ok,RealTime,37232,1,
2029.TW,SHENG YU STEEL  ,20.3,19.8,-0.25,,Ok,RealTime,8096,1,
2030.TW,FROCH ENTERPRISE,11,11,-0.91,,Ok,RealTime,16544,1,
2031.TW,HSIN KUANG STEEL,15.7,15.8,0.64,,Ok,RealTime,19600,1,
2032.TW,SINKANG INDS    ,9.82,9.9,-0.91,,Ok,RealTime,4928,1,
2033.TW,CHIA TA WORLD   ,9.53,9.53,-0.63,,Ok,RealTime,5728,1,
2034.TW,YEUN CHYANG     ,20.3,22.05,-1.22,,Ok,RealTime,40928,1,
2038.TW,HAI KWANG       ,6.28,6.42,-2.18,,Ok,RealTime,8144,1,
2049.TW,HIWIN           ,214,209,1.18,,Ok,RealTime,21984,1,
2059.TW,KING SLIDE      ,360,369,-2.7,,Ok,RealTime,45984,1,
2062.TW,SUNSPRING METAL ,46.7,47.7,-0.64,,Ok,RealTime,59600,1,
2101.TW,NAN KANG TIRE   ,29.85,28.8,0.67,,Ok,RealTime,48864,1,
2102.TW,FEDERAL CORP    ,14.8,14.75,-0.34,,Ok,RealTime,20064,1,
2103.TW,TSRC            ,27.85,29.05,-2.62,,Ok,RealTime,22784,1,
2104.TW,CHINA RUBBER    ,32.35,32.25,-0.77,,Ok,RealTime,42656,1,
2105.TW,CHENG SHIN RUB  ,64.3,64.6,0.16,,Ok,RealTime,44496,1,
2106.TW,KENDA RUBBER    ,45.4,45.95,-0.11,,Ok,RealTime,3984,1,
2107.TW,FORMOSAN RUBBER ,23.9,23.3,-0.21,,Ok,RealTime,41872,1,
2108.TW,NANTEX INDUSTRY ,27.45,26.05,1.1,,Ok,RealTime,21248,1,
2109.TW,HWA FONG        ,14,14.85,0.36,,Ok,RealTime,29376,1,
2114.TW,Hsin Yung Chien ,80.4,85.4,-0.37,,Ok,RealTime,18944,1,
2115.TW,LU HAI          ,45.85,46.5,-0.43,,Ok,RealTime,11184,1,
2201.TW,YULON MOTOR     ,32.75,33,-0.76,,Ok,RealTime,3200,1,
2204.TW,CHINA MOTOR     ,23.8,23.55,0.85,,Ok,RealTime,14608,1,
