UID,arrivalTime,count,genericType,specificType,source,community,uptime,NIKSUN-TRAPv2-OBJECTS-MIB::deviceType,NIKSUN-TRAPv2-OBJECTS-MIB::deviceVersion,NIKSUN-TRAPv2-OBJECTS-MIB::deviceHostname,NIKSUN-TRAPv2-OBJECTS-MIB::deviceIp,NIKSUN-TRAPv2-OBJECTS-MIB::recorder,NIKSUN-TRAPv2-OBJECTS-MIB::interface,NIKSUN-TRAPv2-OBJECTS-MIB::alarmModuleName,NIKSUN-TRAPv2-OBJECTS-MIB::alarmTypeIdentifier,NIKSUN-TRAPv2-OBJECTS-MIB::alarmCategory,NIKSUN-TRAPv2-OBJECTS-MIB::eventDescription,NIKSUN-TRAPv2-OBJECTS-MIB::eventTimeStamp,NIKSUN-TRAPv2-OBJECTS-MIB::eventSrcIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventDstIP,NIKSUN-TRAPv2-OBJECTS-MIB::eventLayer,NIKSUN-TRAPv2-OBJECTS-MIB::eventSeverity,NIKSUN-TRAPv2-OBJECTS-MIB::eventFilter,NIKSUN-TRAPv2-OBJECTS-MIB::eventURL,NIKSUN-TRAPv2-OBJECTS-MIB::custom1Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom1,NIKSUN-TRAPv2-OBJECTS-MIB::custom2Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom2,NIKSUN-TRAPv2-OBJECTS-MIB::custom3Label,NIKSUN-TRAPv2-OBJECTS-MIB::custom3
36e90fc68abfb1c39ac2f2872045c869953bc1f0ae68a3e3803eadb2a3f7ad67,14-08-2013 07:14:35,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:34.37,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[12 repeats] Bit Rate(ip): 3432584,1376479032.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479032.000000&startTime=1376479031.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3432584.000000,Interval,1.000000
2b5ab8a815a1724044d72636fe91947b3a5075de0a4578eead73136b88485f86,14-08-2013 07:14:35,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:34.39,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[12 repeats] Bit Rate(ip): 3432584,1376479032.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479032.000000&startTime=1376479031.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3432584.000000,Interval,1.000000
5863e7eebedcc9aa0aa62ff5c24fc27d341e2b602fa1a79807f89f5a5030d88f,14-08-2013 07:14:46,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:45.10,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[11 repeats] Number of Packets(link) transmitted: 1131,1376479043.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479043.000000&startTime=1376479042.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1131.000000,Interval,1.000000
e910f6a3c29ac2aa56de6fee09010c40ae2263d729aefff85abf5c2e4a87476a,14-08-2013 07:14:46,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:45.12,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[11 repeats] Bit Rate(ip): 3540152,1376479043.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479043.000000&startTime=1376479042.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3540152.000000,Interval,1.000000
37e2b4bae8538b26c97fbe60c523a5e2a980d7d37fc61e190b80117f2a716af3,14-08-2013 07:14:46,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:45.14,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[11 repeats] Bit Rate(ip): 3540152,1376479043.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479043.000000&startTime=1376479042.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3540152.000000,Interval,1.000000
d39e8c6e35cf0e38045e5d4dcccac3667a66be0d56ecd5cb52c1104d64f7fbd1,14-08-2013 07:14:58,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:56.98,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[12 repeats] Number of Packets(link) transmitted: 1129,1376479055.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479055.000000&startTime=1376479054.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1129.000000,Interval,1.000000
6950e2ba7bb9a3349f8488175b84aef5ec815254d01e2f845c7c5bb6d060ec15,14-08-2013 07:14:58,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:57.00,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[12 repeats] Bit Rate(ip): 3444096,1376479055.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479055.000000&startTime=1376479054.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3444096.000000,Interval,1.000000
e2bf8cdc3bbc8cdd67415b39268f6abcb160fc394b4b911d1805e46ae457148b,14-08-2013 07:14:58,1,0,20,10.25.8.126,NetVCRAdmin, 13:40:57.02,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,Bloomberg,Services,[12 repeats] Bit Rate(ip): 3444096,1376479055.000000,n/a,n/a,ip,Severe,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479055.000000&startTime=1376479054.000000&layer=IP&dataType1=bitRate,Threshold,50.000000,Breached Value,3444096.000000,Interval,1.000000
debbf49fb335599fe29a0d724d1e13c020dd6418b1a9431e7087b1d8fea791ef,14-08-2013 07:15:09,1,0,20,10.25.8.126,NetVCRAdmin, 13:41:08.86,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,REUTERS,Services,[12 repeats] Number of Packets(link) transmitted: 1135,1376479067.000000,n/a,n/a,link,Informational,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479067.000000&startTime=1376479066.000000&layer=LINK&dataType1=packet,Threshold,1.000000,Breached Value,1135.000000,Interval,1.000000
21ff0be408fa1422176fccd90ce80c583c798eb9fb399a09ff44f6ed2bb295b1,14-08-2013 07:15:09,1,0,20,10.25.8.126,NetVCRAdmin, 13:41:08.88,NetVCR,4.3.1.0_3,onlineapp6.niksun.com,10.25.8.126,onlineapp6.niksun.com,flcn0_vi0,NetSLM,ICE,Services,[12 repeats] Bit Rate(ip): 3538456,1376479067.000000,n/a,n/a,ip,Critical,"",https://onlineapp6.niksun.com/ngen/main.jsp?headless=false&openingScreen=Analysis&recorder=onlineapp6.niksun.com&iface=flcn0_vi0&endTime=1376479067.000000&startTime=1376479066.000000&layer=IP&dataType1=bitRate,Threshold,70.000000,Breached Value,3538456.000000,Interval,1.000000
