Report Key,Report Group,Report Name,Report Type,Report Arguments,Report Launch Date,Report Duration In Seconds,Execution Status,Report Status,Nb Errors,Nb Warnings,Report Duration
<!>Data Availability,OK
<!>Nb Jobs Executed,207
<!>Nb Jobs No Results,64
<!>Nb Jobs Failed,1
<!>Nb Jobs Succeeded,270
<!>Nb Errors,1
<!>Nb Warnings,908
<!>Total Duration in Seconds,26403
<!>Total Duration,07:20:03
BONDS_POS - jeu. 8 aoû13 - 04:30:43,OTHER,BONDS_POS,REPORT,CASALONDON; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:30:43,12,EXECUTED,SUCCEED,0,0,00:00:12
CREG_PE - jeu. 8 aoû13 - 04:31:30,OTHER,CREG_PE,REPORT,PARISCASA; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:31:30,11,EXECUTED,SUCCEED,0,0,00:00:11
BONDS_POS - jeu. 8 aoû13 - 04:31:52,OTHER,BONDS_POS,REPORT,UK; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:31:52,13,EXECUTED,SUCCEED,0,0,00:00:13
FUTURE_POS - jeu. 8 aoû13 - 04:32:57,OTHER,FUTURE_POS,REPORT,UK; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:32:57,1,EXECUTED,SUCCEED,0,0,00:00:01
RISKATCHER_STRATEGY_KONFIX - jeu. 8 aoû13 - 04:32:52,PnL_EUROPE,RISKATCHER_STRATEGY_KONFIX,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:32:52,93,EXECUTED,SUCCEED,0,2,00:01:33
BONDS_POS - jeu. 8 aoû13 - 04:33:58,OTHER,BONDS_POS,REPORT,CAE; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:33:58,38,EXECUTED,SUCCEED,0,0,00:00:38
TRESOPAR_PnLMtmDay - jeu. 8 aoû13 - 04:34:11,PnL_EUROPE,TRESOPAR_PnLMtmDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:34:11,75,EXECUTED,SUCCEED,0,3,00:01:15
BONDS_POS - jeu. 8 aoû13 - 04:35:23,OTHER,BONDS_POS,REPORT,FRA; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:35:23,4,EXECUTED,SUCCEED,0,0,00:00:04
TRESOPAR_PnLMtmYear - jeu. 8 aoû13 - 04:34:12,PnL_EUROPE,TRESOPAR_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:34:12,80,EXECUTED,SUCCEED,0,2,00:01:20
TRESOPAR_PnLMtmFxTradDay - jeu. 8 aoû13 - 04:35:58,PnL_EUROPE,TRESOPAR_PnLMtmFxTradDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:35:58,7,NO_RESULT,SUCCEED,0,0,00:00:07
TRESOPAR_PnLMtmFxTradYear - jeu. 8 aoû13 - 04:36:03,PnL_EUROPE,TRESOPAR_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:36:03,7,NO_RESULT,SUCCEED,0,0,00:00:07
BONDS_POS - jeu. 8 aoû13 - 04:36:27,OTHER,BONDS_POS,REPORT,CRP; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:36:27,8,EXECUTED,SUCCEED,0,0,00:00:08
BOND_CD_PO - jeu. 8 aoû13 - 04:37:34,OTHER,BOND_CD_PO,REPORT,NULL; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:37:34,4,EXECUTED,SUCCEED,0,0,00:00:04
FUTURE_POS - jeu. 8 aoû13 - 04:38:31,OTHER,FUTURE_POS,REPORT,PARISCASA; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:38:31,3,EXECUTED,SUCCEED,0,0,00:00:03
FUTURE_POS - jeu. 8 aoû13 - 04:39:36,OTHER,FUTURE_POS,REPORT,TRESO-PAR; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:39:36,2,EXECUTED,SUCCEED,0,0,00:00:02
BILAN - jeu. 8 aoû13 - 04:23:25,OTHER,BILAN,REPORT,07/06/2012; NULL; NULL; NULL; NULL; NULL; PER_BILAN; EUR; NULL; Yes; No; BATCH; Yes,jeu. 8 aoû13 - 04:23:25,1026,EXECUTED,SUCCEED,0,0,00:17:06
BONDS_POS - jeu. 8 aoû13 - 04:40:42,OTHER,BONDS_POS,REPORT,PARISCASA; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:40:42,10,EXECUTED,SUCCEED,0,0,00:00:10
BONDS_POS - jeu. 8 aoû13 - 04:41:46,OTHER,BONDS_POS,REPORT,TRESO-PAR; NULL; NULL; NULL; 07/06/2012,jeu. 8 aoû13 - 04:41:46,24,EXECUTED,SUCCEED,0,0,00:00:24
MICROHEDGE - jeu. 8 aoû13 - 04:42:02,OTHER,MICROHEDGE,REPORT,07/06/2012; NULL; NULL; NULL; TRES_MICRO; EUR; Yes,jeu. 8 aoû13 - 04:42:02,93,EXECUTED,SUCCEED,0,0,00:01:33
EXPECTPAY - jeu. 8 aoû13 - 04:45:11,OTHER,EXPECTPAY,REPORT,07/06/2012; 07/06/2012; 08/06/2013; NULL; NULL; NULL; PER_BILAN; No; No; Yes; No; No; No; Yes; No; No; No; No; No; No; No; No; No; No; BATCH,jeu. 8 aoû13 - 04:45:11,428,EXECUTED,SUCCEED,0,0,00:07:08
TRESOPAR_PnLMtmLDDay - jeu. 8 aoû13 - 04:36:37,PnL_EUROPE,TRESOPAR_PnLMtmLDDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:36:37,1030,EXECUTED,SUCCEED,0,1,00:17:10
