GENEOS Status Report,
Monday 20 Jul 2015 17:42:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.22,4.27,2109.01,15:3:13,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
CSC.N,COMPUTER SCIENCE,68.15,67.22,1.2179,15:2:33,Ok,RealTime,44240,4,
CSCO.OQ,CISCO SYSTEMS   ,28.15,28.03,0.4281,15:2:52,Ok,RealTime,6240,5,
CSX.N,CSX CORP        ,32.86,32.09,2.4634,15:3:11,Ok,RealTime,43328,5,
CTAS.OQ,CINTAS CORP     ,86.03,86.28,-0.2898,15:2:53,Ok,RealTime,51520,1,
CTL.N,CENTURYLINK INC ,29.58,29.82,-1.3342,15:1:50,Ok,RealTime,672,5,
CTSH.OQ,COGNIZANT TECH  ,61,60.61,0.6435,15:3:1,Ok,RealTime,65024,3,
CTXS.OQ,CITRIX SYSTEMS  ,70.35,70.89,-0.7617,15:3:13,Ok,RealTime,34480,6,
CVC.N,CABLEVISION SYS ,26.94,26.67,0.5224,15:1:59,Ok,RealTime,41520,2,
CVS.N,CVS HEALTH CRPTN,109.81,108.3,-0.0091,15:3:6,Ok,RealTime,29664,4,
CVX.N,CHEVRON         ,95.4,94.341,-0.157,15:3:7,Ok,RealTime,35984,6,
D.N,DOMINION RES IN ,69.13,68.88,-0.1012,15:3:7,Ok,RealTime,816,5,
DAL.N,DELTA AIR LIN   ,43,42.46,-1.5117,15:2:47,Ok,RealTime,26240,3,
DD.N,DU PONT CO      ,59.45,59.57,0.0337,15:3:13,Ok,RealTime,16992,4,
DE.N,DEERE & CO      ,96.46,95.75,0.0622,15:2:14,Ok,RealTime,62336,1,
DFS.N,DISCOVER FINANC ,59.05,58.13,0.4764,15:3:6,Ok,RealTime,3552,6,
DG.N,DOLLAR GNRL CORP,79.36,80.01,-0.2514,15:3:7,Ok,RealTime,47536,1,
DGX.N,QUEST DIAG      ,73.81,71.57,-0.3645,15:3:4,Ok,RealTime,22144,3,
DHI.N,D.R. HORTON INC ,27.94,28.3,-1.4114,15:2:55,Ok,RealTime,54224,6,
DHR.N,DANAHER         ,88.91,87.32,-0.0562,15:3:12,Ok,RealTime,18544,7,
DIS.N,WALT DISNEY CO  ,118.72,117.7,0.7382,15:3:12,Ok,RealTime,9856,3,
DISCA.OQ,DISCOVERY COMM A,34.21,34.01,0.5881,15:3:2,Ok,RealTime,15504,3,
DISCK.OQ,DISCOVERY COMM C,31.99,31.89,0.3136,15:2:55,Ok,RealTime,43840,2,
DLPH.N,DELPHI AUTOMOTIV,80.53,79.44,0.3864,15:3:13,Ok,RealTime,22864,12,
DLTR.OQ,DOLLAR TREE INC ,81.67,82.4,-0.8859,15:2:54,Ok,RealTime,20432,1,
DNB.N,NEW D&B CORP    ,125.13,124.21,-0.6905,14:51:3,Ok,RealTime,30752,2,
DO.N,DIAMOND OFFSHORE,24.78,24.5,-1.8614,15:2:31,Ok,RealTime,35488,1,
DOV.N,DOVER CORP      ,65.83,65.69,-1.0224,15:2:52,Ok,RealTime,65200,1,
DOW.N,DOW CHEMICAL CO ,52.51,51.66,-0.9992,15:2:55,Ok,RealTime,65520,5,
DPS.N,DR PEPPER SNAPLE,78.54,77.77,-0.0382,15:3:4,Ok,RealTime,44240,8,
DRI.N,DARDEN REST     ,72.12,72.15,-0.3041,15:2:37,Ok,RealTime,60000,3,
DTE.N,DTE ENERGY      ,77.08,77.5,-0.0259,15:3:11,Ok,RealTime,17408,8,
