GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
HRGV.L,HARGREAVES LS   ,1191,1164,0.084,14:55:58,Ok,RealTime,12352,2,
HSBA.L,HSBC HOLDINGS   ,573.7,572.7,0.175,14:59:7,Ok,RealTime,16832,15,
HSTN.L,HANSTEEN HOLD   ,116.9,115,0.602,14:44:46,Ok,RealTime,1296,2,
HSV.L,HOMESERVE       ,426.2,420,1.235,14:58:51,Ok,RealTime,33040,10,
HSX.L,HISCOX          ,892,901.5,0.905,14:58:32,Ok,RealTime,58672,2,
HTG.L,HUNTING         ,519,529.5,-0.479,14:58:53,Ok,RealTime,40976,2,
HTY.L,HELLERMANNTYTON ,335.3,337.7,-1.208,14:58:34,Ok,RealTime,30640,2,
HWDN.L,HOWDEN JOIN GRP ,523,514.62312,0.384,14:58:56,Ok,RealTime,55920,6,
IAP.L,ICAP PLC        ,526,520.590909,1.154,14:59:6,Ok,RealTime,47136,3,
ICAG.L,IAG             ,553,531,0.181,14:58:56,Ok,RealTime,3952,2,
ICP.L,INTERMEDIATE CAP,576.5,565.5,2.398,14:58:47,Ok,RealTime,49408,2,
IGG.L,IG GROUP        ,787.5,783,0.897,14:55:54,Ok,RealTime,58112,3,
IHG.L,INTERCONT HOTEL ,2700,2685.3788,0.409,14:58:21,Ok,RealTime,7568,1,
III.L,3I GROUP        ,554.25,532.695435,0.636,14:58:29,Ok,RealTime,8960,1,
IMG.L,IMAGINTN.TECH   ,235.5,222.5,1.618,14:56:19,Ok,RealTime,6256,1,
IMI.L,IMI PLC         ,1118,1151.5455,-2.187,14:58:52,Ok,RealTime,29456,1,
IMT.L,IMPERIAL TOBACCO,3305,3260,0.978,14:59:0,Ok,RealTime,160,3,
INCH.L,INCHCAPE        ,788,796.100853,-1.191,14:58:54,Ok,RealTime,7280,1,
INDV.L,INDIVIOR        ,252.2,237,2.52,14:58:42,Ok,RealTime,60944,1,
