GENEOS Status Report,
Monday 20 Jul 2015 17:39:13,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,NOK,689.88,OSE ALL SHARE GI,692.16,2.28,690.09,14:37:53,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
RAKP.OL,RAK PETROLEUM   ,10,10.2,-1.96,13:10:52,Ok,RealTime,22864,3,
RCL.OL,ROYAL CARIBBEAN ,680.5,650,0.59,14:25:4,Ok,RealTime,38352,2,
REACH.OL,REACH SUBSEA    ,2.6,,0,12:2:51,Ok,RealTime,2240,2,
REC.OL,REC SILICON     ,1.599,1.483,0.57,14:25:28,Ok,RealTime,3280,132,
RECSOL.OL,REC SOLAR       ,106.5,106,0.47,14:25:27,Ok,RealTime,19760,18,
RENO.OL,RENONORDEN      ,39.5,41.7,-2.47,14:25:26,Ok,RealTime,16000,8,
RISH.OL,GC RIEBER SHIP  ,17.5,17.5,-5.41,13:52:27,Ok,RealTime,1904,3,
SALM.OL,SALMAR          ,122,121.5,0,14:25:9,Ok,RealTime,4256,2,
SASNOK.OL,SAS NOK         ,14.9,14.4,0,13:31:39,Ok,RealTime,49232,3,
SBOO.OL,SELVAAG BOLIG   ,25.4,25.6,0,14:25:0,Ok,RealTime,32816,26,
SBX.OL,SEABIRD EXPLORAT,0.06,0.06,0,14:25:13,Ok,RealTime,22544,8,
SCAI.OL,SCANA INDUSTRIER,0.87,0.1,3.57,14:17:28,Ok,RealTime,18944,3,
SDRL.OL,SEADRILL        ,80.8,77.6,-2.88,14:27:11,Ok,RealTime,24846,1,
SEVAN.OL,SEVAN MARINE    ,18.8,18.1,1.08,14:25:25,Ok,RealTime,2992,8,
SIOFF.OL,SIEM OFFSHORE   ,1.8,1.87,-2.7,14:11:13,Ok,RealTime,3408,3,
SKI.OL,SKIENS AKTIEMOLL,105,,0.48,11:14:19,Ok,RealTime,1792,3,
SNI.OL,STOLT NIELSEN   ,132.5,131.5,0,14:25:12,Ok,RealTime,64864,48,
SOFF.OL,SOLSTAD OFFSHORE,33,32.4,-2.37,14:4:57,Ok,RealTime,4256,3,
SOLV.OL,SOLVANG         ,31.5,,11.31,13:0:11,Ok,RealTime,2944,3,
SONG.OL,SONGA OFFSORE   ,1.48,1.51,-2.63,14:25:10,Ok,RealTime,19216,14,
SPU.OL,SPECTRUM        ,31.7,31.8,-0.63,14:25:12,Ok,RealTime,14960,8,
SRBANK.OL,SPAREBANK 1SR   ,50,50,0.6,14:25:4,Ok,RealTime,29712,2,
SSCOM.OL,SCOTTISH SALMON ,4.75,4.8,0,9:52:37,Ok,RealTime,2224,3,
SSIP.OL,SIEM SHIPPING   ,,,,,Ok,RealTime,1568,3,
SSOL.OL,SCATEC SOLAR    ,46.7,45.9,3.78,14:25:22,Ok,RealTime,55808,24,
STB.OL,STOREBRAND      ,35.65,33.61,0.93,14:25:10,Ok,RealTime,58960,1,
STL.OL,STATOIL         ,140.9,138,0,14:34:58,Ok,RealTime,24862,1,
STORM.OL,STORM REAL      ,12.35,,-0.8,7:0:15,Ok,RealTime,1504,3,
SUBC.OL,SUBSEA 7        ,73,74.25,-4.14,14:25:21,Ok,RealTime,2448,302,
TANIL.OL,TANKER INVEST   ,105.5,105,0.96,14:25:9,Ok,RealTime,49360,1,
TEAM.OL,TEAM TANKERS    ,13.5,13.5,-6.9,14:25:23,Ok,RealTime,4640,4,
